IndexName,Date,Total Returns Index
NIFTY100 EQUAL WEIGHT,2005-04-01,2652.85
NIFTY100 EQUAL WEIGHT,2005-04-04,2655.15
NIFTY100 EQUAL WEIGHT,2005-04-05,2630.08
NIFTY100 EQUAL WEIGHT,2005-04-06,2646.04
NIFTY100 EQUAL WEIGHT,2005-04-07,2639.1
NIFTY100 EQUAL WEIGHT,2005-04-08,2619.52
NIFTY100 EQUAL WEIGHT,2005-04-11,2592.53
NIFTY100 EQUAL WEIGHT,2005-04-12,2612.4
NIFTY100 EQUAL WEIGHT,2005-04-13,2616.39
NIFTY100 EQUAL WEIGHT,2005-04-15,2552.34
NIFTY100 EQUAL WEIGHT,2005-04-18,2530.26
NIFTY100 EQUAL WEIGHT,2005-04-19,2507.01
NIFTY100 EQUAL WEIGHT,2005-04-20,2526.22
NIFTY100 EQUAL WEIGHT,2005-04-21,2556.85
NIFTY100 EQUAL WEIGHT,2005-04-22,2577.09
NIFTY100 EQUAL WEIGHT,2005-04-25,2587.77
NIFTY100 EQUAL WEIGHT,2005-04-26,2584.31
NIFTY100 EQUAL WEIGHT,2005-04-27,2564.6
NIFTY100 EQUAL WEIGHT,2005-04-28,2544.28
NIFTY100 EQUAL WEIGHT,2005-04-29,2498.12
NIFTY100 EQUAL WEIGHT,2005-05-02,2510.38
NIFTY100 EQUAL WEIGHT,2005-05-03,2521.55
NIFTY100 EQUAL WEIGHT,2005-05-04,2553.82
NIFTY100 EQUAL WEIGHT,2005-05-05,2587.64
NIFTY100 EQUAL WEIGHT,2005-05-06,2601.89
NIFTY100 EQUAL WEIGHT,2005-05-09,2630.72
NIFTY100 EQUAL WEIGHT,2005-05-10,2626.68
NIFTY100 EQUAL WEIGHT,2005-05-11,2614.19
NIFTY100 EQUAL WEIGHT,2005-05-12,2627.75
NIFTY100 EQUAL WEIGHT,2005-05-13,2628.74
NIFTY100 EQUAL WEIGHT,2005-05-16,2651.12
NIFTY100 EQUAL WEIGHT,2005-05-17,2627.29
NIFTY100 EQUAL WEIGHT,2005-05-18,2620.78
NIFTY100 EQUAL WEIGHT,2005-05-19,2636.14
NIFTY100 EQUAL WEIGHT,2005-05-20,2634.68
NIFTY100 EQUAL WEIGHT,2005-05-23,2654.92
NIFTY100 EQUAL WEIGHT,2005-05-24,2665.39
NIFTY100 EQUAL WEIGHT,2005-05-25,2676.51
NIFTY100 EQUAL WEIGHT,2005-05-26,2684.9
NIFTY100 EQUAL WEIGHT,2005-05-27,2694.47
NIFTY100 EQUAL WEIGHT,2005-05-30,2684.75
NIFTY100 EQUAL WEIGHT,2005-05-31,2707.41
NIFTY100 EQUAL WEIGHT,2005-06-01,2718.4
NIFTY100 EQUAL WEIGHT,2005-06-02,2703.86
NIFTY100 EQUAL WEIGHT,2005-06-03,2735.01
NIFTY100 EQUAL WEIGHT,2005-06-04,2745.53
NIFTY100 EQUAL WEIGHT,2005-06-06,2751.43
NIFTY100 EQUAL WEIGHT,2005-06-07,2776.95
NIFTY100 EQUAL WEIGHT,2005-06-08,2795.83
NIFTY100 EQUAL WEIGHT,2005-06-09,2786.72
NIFTY100 EQUAL WEIGHT,2005-06-10,2767.71
NIFTY100 EQUAL WEIGHT,2005-06-13,2777.3
NIFTY100 EQUAL WEIGHT,2005-06-14,2777.38
NIFTY100 EQUAL WEIGHT,2005-06-15,2782.42
NIFTY100 EQUAL WEIGHT,2005-06-16,2758.05
