IndexName,Date,Total Returns Index
Nifty200 Alpha 30,2005-04-01,1000.0
Nifty200 Alpha 30,2005-04-04,1000.55
Nifty200 Alpha 30,2005-04-05,988.68
Nifty200 Alpha 30,2005-04-06,993.7
Nifty200 Alpha 30,2005-04-07,992.67
Nifty200 Alpha 30,2005-04-08,979.44
Nifty200 Alpha 30,2005-04-11,970.29
Nifty200 Alpha 30,2005-04-12,981.7
Nifty200 Alpha 30,2005-04-13,986.43
Nifty200 Alpha 30,2005-04-15,955.05
Nifty200 Alpha 30,2005-04-18,944.64
Nifty200 Alpha 30,2005-04-19,936.7
Nifty200 Alpha 30,2005-04-20,947.27
Nifty200 Alpha 30,2005-04-21,962.98
Nifty200 Alpha 30,2005-04-22,971.4
Nifty200 Alpha 30,2005-04-25,976.94
Nifty200 Alpha 30,2005-04-26,972.34
Nifty200 Alpha 30,2005-04-27,960.65
Nifty200 Alpha 30,2005-04-28,951.37
Nifty200 Alpha 30,2005-04-29,924.54
Nifty200 Alpha 30,2005-05-02,931.62
Nifty200 Alpha 30,2005-05-03,937.86
Nifty200 Alpha 30,2005-05-04,951.0
Nifty200 Alpha 30,2005-05-05,967.8
Nifty200 Alpha 30,2005-05-06,968.85
Nifty200 Alpha 30,2005-05-09,984.27
Nifty200 Alpha 30,2005-05-10,987.77
Nifty200 Alpha 30,2005-05-11,981.1
Nifty200 Alpha 30,2005-05-12,986.52
Nifty200 Alpha 30,2005-05-13,986.77
Nifty200 Alpha 30,2005-05-16,997.72
Nifty200 Alpha 30,2005-05-17,987.65
Nifty200 Alpha 30,2005-05-18,982.65
Nifty200 Alpha 30,2005-05-19,990.24
Nifty200 Alpha 30,2005-05-20,990.37
Nifty200 Alpha 30,2005-05-23,997.53
Nifty200 Alpha 30,2005-05-24,1003.27
Nifty200 Alpha 30,2005-05-25,1007.1
Nifty200 Alpha 30,2005-05-26,1013.69
Nifty200 Alpha 30,2005-05-27,1016.5
Nifty200 Alpha 30,2005-05-30,1006.18
Nifty200 Alpha 30,2005-05-31,1019.15
Nifty200 Alpha 30,2005-06-01,1015.22
Nifty200 Alpha 30,2005-06-02,1006.33
Nifty200 Alpha 30,2005-06-03,1015.72
Nifty200 Alpha 30,2005-06-04,1015.46
Nifty200 Alpha 30,2005-06-06,1020.95
Nifty200 Alpha 30,2005-06-07,1037.98
Nifty200 Alpha 30,2005-06-08,1047.12
Nifty200 Alpha 30,2005-06-09,1043.64
Nifty200 Alpha 30,2005-06-10,1034.37
Nifty200 Alpha 30,2005-06-13,1039.31
Nifty200 Alpha 30,2005-06-14,1046.87
Nifty200 Alpha 30,2005-06-15,1047.42
Nifty200 Alpha 30,2005-06-16,1040.7
Nifty200 Alpha 30,2005-06-17,1039.38
Nifty200 Alpha 30,2005-06-20,1034.1
Nifty200 Alpha 30,2005-06-21,1045.88
Nifty200 Alpha 30,2005-06-22,1046.03
Nifty200 Alpha 30,2005-06-23,1052.07
Nifty200 Alpha 30,2005-06-24,1048.86
Nifty200 Alpha 30,2005-06-27,1047.84
Nifty200 Alpha 30,2005-06-28,1032.74
Nifty200 Alpha 30,2005-06-29,1040.46
Nifty200 Alpha 30,2005-06-30,1053.27
Nifty200 Alpha 30,2005-07-01,1075.58
Nifty200 Alpha 30,2005-07-04,1088.13
Nifty200 Alpha 30,2005-07-05,1095.41
Nifty200 Alpha 30,2005-07-06,1119.12
Nifty200 Alpha 30,2005-07-07,1101.9
Nifty200 Alpha 30,2005-07-08,1123.74
Nifty200 Alpha 30,2005-07-11,1140.57
Nifty200 Alpha 30,2005-07-12,1148.74
Nifty200 Alpha 30,2005-07-13,1144.81
Nifty200 Alpha 30,2005-07-14,1134.9
Nifty200 Alpha 30,2005-07-15,1143.8
Nifty200 Alpha 30,2005-07-18,1160.47
Nifty200 Alpha 30,2005-07-19,1160.25
Nifty200 Alpha 30,2005-07-20,1166.96
Nifty200 Alpha 30,2005-07-21,1150.0
Nifty200 Alpha 30,2005-07-22,1168.4
Nifty200 Alpha 30,2005-07-25,1176.65
Nifty200 Alpha 30,2005-07-26,1177.19
Nifty200 Alpha 30,2005-07-27,1178.57
Nifty200 Alpha 30,2005-07-29,1157.49
Nifty200 Alpha 30,2005-08-01,1177.6
Nifty200 Alpha 30,2005-08-02,1202.57
Nifty200 Alpha 30,2005-08-03,1204.08
Nifty200 Alpha 30,2005-08-04,1220.19
Nifty200 Alpha 30,2005-08-05,1220.44
Nifty200 Alpha 30,2005-08-08,1188.83
Nifty200 Alpha 30,2005-08-09,1183.58
Nifty200 Alpha 30,2005-08-10,1209.38
Nifty200 Alpha 30,2005-08-11,1214.89
Nifty200 Alpha 30,2005-08-12,1211.95
Nifty200 Alpha 30,2005-08-16,1214.8
Nifty200 Alpha 30,2005-08-17,1224.19
Nifty200 Alpha 30,2005-08-18,1222.34
Nifty200 Alpha 30,2005-08-19,1215.28
Nifty200 Alpha 30,2005-08-22,1200.64
Nifty200 Alpha 30,2005-08-23,1175.26
Nifty200 Alpha 30,2005-08-24,1161.59
Nifty200 Alpha 30,2005-08-25,1169.32
Nifty200 Alpha 30,2005-08-26,1197.11
Nifty200 Alpha 30,2005-08-29,1187.89
Nifty200 Alpha 30,2005-08-30,1203.19
Nifty200 Alpha 30,2005-08-31,1214.03
Nifty200 Alpha 30,2005-09-01,1221.69
Nifty200 Alpha 30,2005-09-02,1224.58
Nifty200 Alpha 30,2005-09-05,1228.18
Nifty200 Alpha 30,2005-09-06,1234.17
Nifty200 Alpha 30,2005-09-08,1250.04
Nifty200 Alpha 30,2005-09-09,1252.88
Nifty200 Alpha 30,2005-09-12,1256.98
Nifty200 Alpha 30,2005-09-13,1266.62
Nifty200 Alpha 30,2005-09-14,1259.09
Nifty200 Alpha 30,2005-09-15,1271.09
Nifty200 Alpha 30,2005-09-16,1277.82
Nifty200 Alpha 30,2005-09-19,1290.49
Nifty200 Alpha 30,2005-09-20,1288.42
Nifty200 Alpha 30,2005-09-21,1274.31
Nifty200 Alpha 30,2005-09-22,1218.54
Nifty200 Alpha 30,2005-09-23,1227.54
Nifty200 Alpha 30,2005-09-26,1269.8
Nifty200 Alpha 30,2005-09-27,1273.77
Nifty200 Alpha 30,2005-09-28,1280.48
Nifty200 Alpha 30,2005-09-29,1269.83
Nifty200 Alpha 30,2005-09-30,1276.52
Nifty200 Alpha 30,2005-10-03,1295.71
Nifty200 Alpha 30,2005-10-04,1313.31
Nifty200 Alpha 30,2005-10-05,1298.64
Nifty200 Alpha 30,2005-10-06,1273.69
Nifty200 Alpha 30,2005-10-07,1265.68
Nifty200 Alpha 30,2005-10-10,1255.71
Nifty200 Alpha 30,2005-10-11,1257.38
Nifty200 Alpha 30,2005-10-13,1244.88
Nifty200 Alpha 30,2005-10-14,1213.85
Nifty200 Alpha 30,2005-10-17,1203.43
Nifty200 Alpha 30,2005-10-18,1191.24
Nifty200 Alpha 30,2005-10-19,1159.0
Nifty200 Alpha 30,2005-10-20,1130.19
Nifty200 Alpha 30,2005-10-21,1156.5
Nifty200 Alpha 30,2005-10-24,1139.47
Nifty200 Alpha 30,2005-10-25,1150.13
Nifty200 Alpha 30,2005-10-26,1143.57
Nifty200 Alpha 30,2005-10-27,1099.71
Nifty200 Alpha 30,2005-10-28,1084.63
Nifty200 Alpha 30,2005-10-31,1137.16
Nifty200 Alpha 30,2005-11-01,1146.67
Nifty200 Alpha 30,2005-11-02,1153.58
Nifty200 Alpha 30,2005-11-07,1179.04
Nifty200 Alpha 30,2005-11-08,1193.64
Nifty200 Alpha 30,2005-11-09,1189.65
Nifty200 Alpha 30,2005-11-10,1199.55
Nifty200 Alpha 30,2005-11-11,1219.11
Nifty200 Alpha 30,2005-11-14,1227.98
Nifty200 Alpha 30,2005-11-16,1243.2
Nifty200 Alpha 30,2005-11-17,1256.64
Nifty200 Alpha 30,2005-11-18,1263.04
Nifty200 Alpha 30,2005-11-21,1256.18
Nifty200 Alpha 30,2005-11-22,1251.47
Nifty200 Alpha 30,2005-11-23,1264.91
Nifty200 Alpha 30,2005-11-24,1274.05
Nifty200 Alpha 30,2005-11-25,1299.42
Nifty200 Alpha 30,2005-11-26,1326.92
Nifty200 Alpha 30,2005-11-28,1339.68
Nifty200 Alpha 30,2005-11-29,1330.09
Nifty200 Alpha 30,2005-11-30,1308.99
Nifty200 Alpha 30,2005-12-01,1341.43
Nifty200 Alpha 30,2005-12-02,1354.32
Nifty200 Alpha 30,2005-12-05,1346.33
Nifty200 Alpha 30,2005-12-06,1342.77
Nifty200 Alpha 30,2005-12-07,1354.39
Nifty200 Alpha 30,2005-12-08,1370.64
Nifty200 Alpha 30,2005-12-09,1389.64
Nifty200 Alpha 30,2005-12-12,1391.53
Nifty200 Alpha 30,2005-12-13,1402.61
Nifty200 Alpha 30,2005-12-14,1402.63
Nifty200 Alpha 30,2005-12-15,1365.39
Nifty200 Alpha 30,2005-12-16,1386.76
Nifty200 Alpha 30,2005-12-19,1409.34
Nifty200 Alpha 30,2005-12-20,1405.16
Nifty200 Alpha 30,2005-12-21,1400.03
Nifty200 Alpha 30,2005-12-22,1404.14
Nifty200 Alpha 30,2005-12-23,1387.8
Nifty200 Alpha 30,2005-12-26,1345.19
Nifty200 Alpha 30,2005-12-27,1384.27
Nifty200 Alpha 30,2005-12-28,1386.22
Nifty200 Alpha 30,2005-12-29,1389.8
Nifty200 Alpha 30,2005-12-30,1409.48
Nifty200 Alpha 30,2006-01-02,1414.74
Nifty200 Alpha 30,2006-01-03,1434.7
Nifty200 Alpha 30,2006-01-04,1447.0
Nifty200 Alpha 30,2006-01-05,1447.85
Nifty200 Alpha 30,2006-01-06,1458.18
Nifty200 Alpha 30,2006-01-09,1470.97
Nifty200 Alpha 30,2006-01-10,1454.94
Nifty200 Alpha 30,2006-01-12,1451.88
Nifty200 Alpha 30,2006-01-13,1462.08
Nifty200 Alpha 30,2006-01-16,1460.53
Nifty200 Alpha 30,2006-01-17,1444.62
Nifty200 Alpha 30,2006-01-18,1442.81
Nifty200 Alpha 30,2006-01-19,1473.44
Nifty200 Alpha 30,2006-01-20,1500.6
Nifty200 Alpha 30,2006-01-23,1505.91
Nifty200 Alpha 30,2006-01-24,1509.85
Nifty200 Alpha 30,2006-01-25,1510.94
Nifty200 Alpha 30,2006-01-27,1546.35
Nifty200 Alpha 30,2006-01-30,1543.47
Nifty200 Alpha 30,2006-01-31,1565.83
Nifty200 Alpha 30,2006-02-01,1543.18
Nifty200 Alpha 30,2006-02-02,1543.68
Nifty200 Alpha 30,2006-02-03,1539.46
Nifty200 Alpha 30,2006-02-06,1557.18
Nifty200 Alpha 30,2006-02-07,1576.85
Nifty200 Alpha 30,2006-02-08,1572.88
Nifty200 Alpha 30,2006-02-10,1582.44
Nifty200 Alpha 30,2006-02-13,1594.29
Nifty200 Alpha 30,2006-02-14,1597.73
Nifty200 Alpha 30,2006-02-15,1595.93
Nifty200 Alpha 30,2006-02-16,1595.42
Nifty200 Alpha 30,2006-02-17,1566.96
Nifty200 Alpha 30,2006-02-20,1563.91
Nifty200 Alpha 30,2006-02-21,1575.04
Nifty200 Alpha 30,2006-02-22,1576.97
Nifty200 Alpha 30,2006-02-23,1563.64
Nifty200 Alpha 30,2006-02-24,1581.39
Nifty200 Alpha 30,2006-02-27,1591.23
Nifty200 Alpha 30,2006-02-28,1608.57
Nifty200 Alpha 30,2006-03-01,1655.71
Nifty200 Alpha 30,2006-03-02,1667.53
Nifty200 Alpha 30,2006-03-03,1683.92
Nifty200 Alpha 30,2006-03-06,1707.67
Nifty200 Alpha 30,2006-03-07,1730.13
Nifty200 Alpha 30,2006-03-08,1701.8
Nifty200 Alpha 30,2006-03-09,1713.09
Nifty200 Alpha 30,2006-03-10,1744.41
Nifty200 Alpha 30,2006-03-13,1744.97
Nifty200 Alpha 30,2006-03-14,1733.42
Nifty200 Alpha 30,2006-03-16,1744.63
Nifty200 Alpha 30,2006-03-17,1742.53
Nifty200 Alpha 30,2006-03-20,1752.53
Nifty200 Alpha 30,2006-03-21,1752.98
Nifty200 Alpha 30,2006-03-22,1747.9
Nifty200 Alpha 30,2006-03-23,1749.29
Nifty200 Alpha 30,2006-03-24,1770.98
Nifty200 Alpha 30,2006-03-27,1788.34
Nifty200 Alpha 30,2006-03-28,1774.5
Nifty200 Alpha 30,2006-03-29,1784.23
Nifty200 Alpha 30,2006-03-30,1789.38
Nifty200 Alpha 30,2006-03-31,1816.25
Nifty200 Alpha 30,2006-04-03,1861.52
Nifty200 Alpha 30,2006-04-04,1877.96
Nifty200 Alpha 30,2006-04-05,1920.47
Nifty200 Alpha 30,2006-04-07,1881.31
Nifty200 Alpha 30,2006-04-10,1895.98
Nifty200 Alpha 30,2006-04-12,1847.72
Nifty200 Alpha 30,2006-04-13,1797.28
Nifty200 Alpha 30,2006-04-17,1832.12
Nifty200 Alpha 30,2006-04-18,1864.57
Nifty200 Alpha 30,2006-04-19,1869.25
Nifty200 Alpha 30,2006-04-20,1878.95
Nifty200 Alpha 30,2006-04-21,1877.37
Nifty200 Alpha 30,2006-04-24,1878.43
Nifty200 Alpha 30,2006-04-25,1830.37
Nifty200 Alpha 30,2006-04-26,1865.63
Nifty200 Alpha 30,2006-04-27,1841.13
Nifty200 Alpha 30,2006-04-28,1857.8
Nifty200 Alpha 30,2006-04-29,1894.87
Nifty200 Alpha 30,2006-05-02,1925.67
Nifty200 Alpha 30,2006-05-03,1940.88
Nifty200 Alpha 30,2006-05-04,1936.77
Nifty200 Alpha 30,2006-05-05,1944.83
Nifty200 Alpha 30,2006-05-08,1944.62
Nifty200 Alpha 30,2006-05-09,1955.14
Nifty200 Alpha 30,2006-05-10,1956.27
Nifty200 Alpha 30,2006-05-11,1942.44
Nifty200 Alpha 30,2006-05-12,1920.8
Nifty200 Alpha 30,2006-05-15,1827.84
Nifty200 Alpha 30,2006-05-16,1839.61
Nifty200 Alpha 30,2006-05-17,1884.15
Nifty200 Alpha 30,2006-05-18,1733.43
Nifty200 Alpha 30,2006-05-19,1621.04
Nifty200 Alpha 30,2006-05-22,1525.88
Nifty200 Alpha 30,2006-05-23,1602.6
Nifty200 Alpha 30,2006-05-24,1584.11
Nifty200 Alpha 30,2006-05-25,1585.8
Nifty200 Alpha 30,2006-05-26,1630.65
Nifty200 Alpha 30,2006-05-29,1647.3
Nifty200 Alpha 30,2006-05-30,1631.38
Nifty200 Alpha 30,2006-05-31,1593.07
Nifty200 Alpha 30,2006-06-01,1527.82
Nifty200 Alpha 30,2006-06-02,1578.41
Nifty200 Alpha 30,2006-06-05,1543.08
Nifty200 Alpha 30,2006-06-06,1495.38
Nifty200 Alpha 30,2006-06-07,1430.31
Nifty200 Alpha 30,2006-06-08,1349.38
Nifty200 Alpha 30,2006-06-09,1447.37
Nifty200 Alpha 30,2006-06-12,1403.04
Nifty200 Alpha 30,2006-06-13,1332.71
Nifty200 Alpha 30,2006-06-14,1305.13
Nifty200 Alpha 30,2006-06-15,1407.91
Nifty200 Alpha 30,2006-06-16,1450.93
Nifty200 Alpha 30,2006-06-19,1484.03
Nifty200 Alpha 30,2006-06-20,1467.94
Nifty200 Alpha 30,2006-06-21,1497.96
Nifty200 Alpha 30,2006-06-22,1532.71
Nifty200 Alpha 30,2006-06-23,1543.19
Nifty200 Alpha 30,2006-06-25,1545.64
Nifty200 Alpha 30,2006-06-26,1481.46
Nifty200 Alpha 30,2006-06-27,1503.61
Nifty200 Alpha 30,2006-06-28,1506.78
Nifty200 Alpha 30,2006-06-29,1518.08
Nifty200 Alpha 30,2006-06-30,1578.5
Nifty200 Alpha 30,2006-07-03,1587.56
Nifty200 Alpha 30,2006-07-04,1578.61
Nifty200 Alpha 30,2006-07-05,1609.91
Nifty200 Alpha 30,2006-07-06,1604.91
Nifty200 Alpha 30,2006-07-07,1571.41
Nifty200 Alpha 30,2006-07-10,1606.8
Nifty200 Alpha 30,2006-07-11,1611.06
Nifty200 Alpha 30,2006-07-12,1640.44
Nifty200 Alpha 30,2006-07-13,1635.39
Nifty200 Alpha 30,2006-07-14,1612.23
Nifty200 Alpha 30,2006-07-17,1548.81
Nifty200 Alpha 30,2006-07-18,1534.88
Nifty200 Alpha 30,2006-07-19,1475.8
Nifty200 Alpha 30,2006-07-20,1524.95
Nifty200 Alpha 30,2006-07-21,1484.52
Nifty200 Alpha 30,2006-07-24,1488.07
Nifty200 Alpha 30,2006-07-25,1523.43
Nifty200 Alpha 30,2006-07-26,1558.4
Nifty200 Alpha 30,2006-07-27,1588.33
Nifty200 Alpha 30,2006-07-28,1591.12
Nifty200 Alpha 30,2006-07-31,1592.95
Nifty200 Alpha 30,2006-08-01,1586.17
Nifty200 Alpha 30,2006-08-02,1610.89
Nifty200 Alpha 30,2006-08-03,1609.17
Nifty200 Alpha 30,2006-08-04,1608.01
Nifty200 Alpha 30,2006-08-07,1605.0
Nifty200 Alpha 30,2006-08-08,1629.37
Nifty200 Alpha 30,2006-08-09,1653.73
Nifty200 Alpha 30,2006-08-10,1669.82
Nifty200 Alpha 30,2006-08-11,1678.05
Nifty200 Alpha 30,2006-08-14,1699.74
Nifty200 Alpha 30,2006-08-16,1716.01
Nifty200 Alpha 30,2006-08-17,1724.97
Nifty200 Alpha 30,2006-08-18,1734.54
Nifty200 Alpha 30,2006-08-21,1738.62
Nifty200 Alpha 30,2006-08-22,1737.97
Nifty200 Alpha 30,2006-08-23,1713.46
Nifty200 Alpha 30,2006-08-24,1731.11
Nifty200 Alpha 30,2006-08-25,1741.88
Nifty200 Alpha 30,2006-08-28,1746.21
Nifty200 Alpha 30,2006-08-29,1753.26
Nifty200 Alpha 30,2006-08-30,1751.87
Nifty200 Alpha 30,2006-08-31,1737.7
Nifty200 Alpha 30,2006-09-01,1760.68
Nifty200 Alpha 30,2006-09-04,1786.61
Nifty200 Alpha 30,2006-09-05,1794.34
Nifty200 Alpha 30,2006-09-06,1798.69
Nifty200 Alpha 30,2006-09-07,1792.74
Nifty200 Alpha 30,2006-09-08,1805.55
Nifty200 Alpha 30,2006-09-11,1734.87
Nifty200 Alpha 30,2006-09-12,1753.23
Nifty200 Alpha 30,2006-09-13,1783.5
Nifty200 Alpha 30,2006-09-14,1790.29
Nifty200 Alpha 30,2006-09-15,1795.03
Nifty200 Alpha 30,2006-09-18,1809.45
Nifty200 Alpha 30,2006-09-19,1775.94
Nifty200 Alpha 30,2006-09-20,1787.62
Nifty200 Alpha 30,2006-09-21,1810.82
Nifty200 Alpha 30,2006-09-22,1812.24
Nifty200 Alpha 30,2006-09-25,1800.32
Nifty200 Alpha 30,2006-09-26,1813.72
Nifty200 Alpha 30,2006-09-27,1819.43
Nifty200 Alpha 30,2006-09-28,1807.43
Nifty200 Alpha 30,2006-09-29,1832.03
Nifty200 Alpha 30,2006-10-03,1828.85
Nifty200 Alpha 30,2006-10-04,1812.45
Nifty200 Alpha 30,2006-10-05,1833.58
Nifty200 Alpha 30,2006-10-06,1837.16
Nifty200 Alpha 30,2006-10-09,1841.59
Nifty200 Alpha 30,2006-10-10,1846.31
Nifty200 Alpha 30,2006-10-11,1819.87
Nifty200 Alpha 30,2006-10-12,1852.11
Nifty200 Alpha 30,2006-10-13,1870.78
Nifty200 Alpha 30,2006-10-16,1878.64
Nifty200 Alpha 30,2006-10-17,1874.15
Nifty200 Alpha 30,2006-10-18,1876.44
Nifty200 Alpha 30,2006-10-19,1869.95
Nifty200 Alpha 30,2006-10-20,1877.05
Nifty200 Alpha 30,2006-10-21,1885.94
Nifty200 Alpha 30,2006-10-23,1872.14
Nifty200 Alpha 30,2006-10-26,1888.12
