IndexName,Date,Total Returns Index
Nifty200 Value 30,2005-04-01,1000.0
Nifty200 Value 30,2005-04-04,993.68
Nifty200 Value 30,2005-04-05,982.91
Nifty200 Value 30,2005-04-06,989.99
Nifty200 Value 30,2005-04-07,986.75
Nifty200 Value 30,2005-04-08,981.15
Nifty200 Value 30,2005-04-11,971.79
Nifty200 Value 30,2005-04-12,980.14
Nifty200 Value 30,2005-04-13,979.69
Nifty200 Value 30,2005-04-15,952.84
Nifty200 Value 30,2005-04-18,944.34
Nifty200 Value 30,2005-04-19,933.03
Nifty200 Value 30,2005-04-20,946.17
Nifty200 Value 30,2005-04-21,955.61
Nifty200 Value 30,2005-04-22,955.03
Nifty200 Value 30,2005-04-25,960.17
Nifty200 Value 30,2005-04-26,957.78
Nifty200 Value 30,2005-04-27,944.05
Nifty200 Value 30,2005-04-28,932.38
Nifty200 Value 30,2005-04-29,910.19
Nifty200 Value 30,2005-05-02,919.64
Nifty200 Value 30,2005-05-03,923.38
Nifty200 Value 30,2005-05-04,936.56
Nifty200 Value 30,2005-05-05,949.59
Nifty200 Value 30,2005-05-06,956.12
Nifty200 Value 30,2005-05-09,966.15
Nifty200 Value 30,2005-05-10,963.82
Nifty200 Value 30,2005-05-11,959.7
Nifty200 Value 30,2005-05-12,965.11
Nifty200 Value 30,2005-05-13,963.45
Nifty200 Value 30,2005-05-16,971.88
Nifty200 Value 30,2005-05-17,959.83
Nifty200 Value 30,2005-05-18,959.19
Nifty200 Value 30,2005-05-19,961.72
Nifty200 Value 30,2005-05-20,963.46
Nifty200 Value 30,2005-05-23,972.78
Nifty200 Value 30,2005-05-24,978.37
Nifty200 Value 30,2005-05-25,982.59
Nifty200 Value 30,2005-05-26,983.32
Nifty200 Value 30,2005-05-27,988.22
Nifty200 Value 30,2005-05-30,979.14
Nifty200 Value 30,2005-05-31,985.12
Nifty200 Value 30,2005-06-01,984.93
Nifty200 Value 30,2005-06-02,974.65
Nifty200 Value 30,2005-06-03,985.04
Nifty200 Value 30,2005-06-04,985.34
Nifty200 Value 30,2005-06-06,986.34
Nifty200 Value 30,2005-06-07,994.5
Nifty200 Value 30,2005-06-08,1003.67
Nifty200 Value 30,2005-06-09,1001.28
Nifty200 Value 30,2005-06-10,992.44
Nifty200 Value 30,2005-06-13,993.97
Nifty200 Value 30,2005-06-14,996.69
Nifty200 Value 30,2005-06-15,1001.24
Nifty200 Value 30,2005-06-16,990.48
Nifty200 Value 30,2005-06-17,989.74
Nifty200 Value 30,2005-06-20,987.98
Nifty200 Value 30,2005-06-21,994.57
Nifty200 Value 30,2005-06-22,998.23
Nifty200 Value 30,2005-06-23,1007.16
Nifty200 Value 30,2005-06-24,1010.78
Nifty200 Value 30,2005-06-27,1012.08
Nifty200 Value 30,2005-06-28,994.55
Nifty200 Value 30,2005-06-29,1002.78
Nifty200 Value 30,2005-06-30,1006.19
Nifty200 Value 30,2005-07-01,1013.92
Nifty200 Value 30,2005-07-04,1022.87
Nifty200 Value 30,2005-07-05,1017.26
Nifty200 Value 30,2005-07-06,1029.91
Nifty200 Value 30,2005-07-07,1013.64
Nifty200 Value 30,2005-07-08,1020.82
Nifty200 Value 30,2005-07-11,1030.25
Nifty200 Value 30,2005-07-12,1040.03
Nifty200 Value 30,2005-07-13,1037.81
Nifty200 Value 30,2005-07-14,1033.9
Nifty200 Value 30,2005-07-15,1043.21
Nifty200 Value 30,2005-07-18,1050.49
Nifty200 Value 30,2005-07-19,1054.57
Nifty200 Value 30,2005-07-20,1056.78
Nifty200 Value 30,2005-07-21,1049.24
Nifty200 Value 30,2005-07-22,1068.13
Nifty200 Value 30,2005-07-25,1086.75
Nifty200 Value 30,2005-07-26,1094.18
Nifty200 Value 30,2005-07-27,1100.03
Nifty200 Value 30,2005-07-29,1100.97
Nifty200 Value 30,2005-08-01,1107.35
Nifty200 Value 30,2005-08-02,1128.6
Nifty200 Value 30,2005-08-03,1123.8
Nifty200 Value 30,2005-08-04,1127.2
Nifty200 Value 30,2005-08-05,1128.4
Nifty200 Value 30,2005-08-08,1102.58
Nifty200 Value 30,2005-08-09,1095.77
Nifty200 Value 30,2005-08-10,1118.16
Nifty200 Value 30,2005-08-11,1125.13
Nifty200 Value 30,2005-08-12,1120.69
Nifty200 Value 30,2005-08-16,1120.27
Nifty200 Value 30,2005-08-17,1129.13
Nifty200 Value 30,2005-08-18,1125.03
Nifty200 Value 30,2005-08-19,1119.76
Nifty200 Value 30,2005-08-22,1109.22
Nifty200 Value 30,2005-08-23,1092.68
Nifty200 Value 30,2005-08-24,1084.07
Nifty200 Value 30,2005-08-25,1092.56
Nifty200 Value 30,2005-08-26,1102.46
Nifty200 Value 30,2005-08-29,1090.31
Nifty200 Value 30,2005-08-30,1102.99
Nifty200 Value 30,2005-08-31,1110.74
Nifty200 Value 30,2005-09-01,1119.86
Nifty200 Value 30,2005-09-02,1131.69
Nifty200 Value 30,2005-09-05,1138.48
Nifty200 Value 30,2005-09-06,1143.52
Nifty200 Value 30,2005-09-08,1157.03
Nifty200 Value 30,2005-09-09,1161.41
Nifty200 Value 30,2005-09-12,1176.87
Nifty200 Value 30,2005-09-13,1185.22
Nifty200 Value 30,2005-09-14,1180.26
Nifty200 Value 30,2005-09-15,1190.77
Nifty200 Value 30,2005-09-16,1202.25
Nifty200 Value 30,2005-09-19,1216.63
Nifty200 Value 30,2005-09-20,1217.12
Nifty200 Value 30,2005-09-21,1213.57
Nifty200 Value 30,2005-09-22,1172.22
Nifty200 Value 30,2005-09-23,1174.18
Nifty200 Value 30,2005-09-26,1206.24
Nifty200 Value 30,2005-09-27,1216.99
Nifty200 Value 30,2005-09-28,1230.47
Nifty200 Value 30,2005-09-29,1225.04
Nifty200 Value 30,2005-09-30,1229.96
Nifty200 Value 30,2005-10-03,1251.36
Nifty200 Value 30,2005-10-04,1269.03
Nifty200 Value 30,2005-10-05,1263.01
Nifty200 Value 30,2005-10-06,1242.17
Nifty200 Value 30,2005-10-07,1228.89
Nifty200 Value 30,2005-10-10,1211.15
Nifty200 Value 30,2005-10-11,1228.3
Nifty200 Value 30,2005-10-13,1201.57
Nifty200 Value 30,2005-10-14,1179.77
Nifty200 Value 30,2005-10-17,1175.11
Nifty200 Value 30,2005-10-18,1169.42
Nifty200 Value 30,2005-10-19,1137.68
Nifty200 Value 30,2005-10-20,1121.12
Nifty200 Value 30,2005-10-21,1140.44
Nifty200 Value 30,2005-10-24,1127.75
Nifty200 Value 30,2005-10-25,1140.4
Nifty200 Value 30,2005-10-26,1132.24
Nifty200 Value 30,2005-10-27,1102.01
Nifty200 Value 30,2005-10-28,1073.78
Nifty200 Value 30,2005-10-31,1089.41
Nifty200 Value 30,2005-11-01,1102.57
Nifty200 Value 30,2005-11-02,1110.92
Nifty200 Value 30,2005-11-07,1131.31
Nifty200 Value 30,2005-11-08,1147.32
Nifty200 Value 30,2005-11-09,1146.02
Nifty200 Value 30,2005-11-10,1158.98
Nifty200 Value 30,2005-11-11,1184.17
Nifty200 Value 30,2005-11-14,1186.94
Nifty200 Value 30,2005-11-16,1196.23
Nifty200 Value 30,2005-11-17,1204.69
Nifty200 Value 30,2005-11-18,1204.2
Nifty200 Value 30,2005-11-21,1190.79
Nifty200 Value 30,2005-11-22,1172.6
Nifty200 Value 30,2005-11-23,1179.21
Nifty200 Value 30,2005-11-24,1188.41
Nifty200 Value 30,2005-11-25,1201.05
Nifty200 Value 30,2005-11-26,1212.62
Nifty200 Value 30,2005-11-28,1223.54
Nifty200 Value 30,2005-11-29,1218.35
Nifty200 Value 30,2005-11-30,1207.07
Nifty200 Value 30,2005-12-01,1227.05
Nifty200 Value 30,2005-12-02,1222.4
Nifty200 Value 30,2005-12-05,1201.86
Nifty200 Value 30,2005-12-06,1191.53
Nifty200 Value 30,2005-12-07,1197.22
Nifty200 Value 30,2005-12-08,1202.29
Nifty200 Value 30,2005-12-09,1214.49
Nifty200 Value 30,2005-12-12,1231.73
Nifty200 Value 30,2005-12-13,1249.23
Nifty200 Value 30,2005-12-14,1261.29
Nifty200 Value 30,2005-12-15,1245.87
Nifty200 Value 30,2005-12-16,1264.93
Nifty200 Value 30,2005-12-19,1285.97
Nifty200 Value 30,2005-12-20,1284.27
Nifty200 Value 30,2005-12-21,1275.37
Nifty200 Value 30,2005-12-22,1277.38
Nifty200 Value 30,2005-12-23,1265.18
Nifty200 Value 30,2005-12-26,1233.72
Nifty200 Value 30,2005-12-27,1265.77
Nifty200 Value 30,2005-12-28,1266.92
Nifty200 Value 30,2005-12-29,1270.03
Nifty200 Value 30,2005-12-30,1288.93
Nifty200 Value 30,2006-01-02,1291.82
Nifty200 Value 30,2006-01-03,1307.39
Nifty200 Value 30,2006-01-04,1327.51
Nifty200 Value 30,2006-01-05,1342.98
Nifty200 Value 30,2006-01-06,1350.73
Nifty200 Value 30,2006-01-09,1352.25
Nifty200 Value 30,2006-01-10,1336.32
Nifty200 Value 30,2006-01-12,1329.11
Nifty200 Value 30,2006-01-13,1322.53
Nifty200 Value 30,2006-01-16,1309.01
Nifty200 Value 30,2006-01-17,1289.88
Nifty200 Value 30,2006-01-18,1280.71
Nifty200 Value 30,2006-01-19,1300.25
Nifty200 Value 30,2006-01-20,1309.65
Nifty200 Value 30,2006-01-23,1302.47
Nifty200 Value 30,2006-01-24,1305.97
Nifty200 Value 30,2006-01-25,1291.62
Nifty200 Value 30,2006-01-27,1330.05
Nifty200 Value 30,2006-01-30,1318.97
Nifty200 Value 30,2006-01-31,1332.87
Nifty200 Value 30,2006-02-01,1308.97
Nifty200 Value 30,2006-02-02,1316.71
Nifty200 Value 30,2006-02-03,1313.79
Nifty200 Value 30,2006-02-06,1320.12
Nifty200 Value 30,2006-02-07,1334.63
Nifty200 Value 30,2006-02-08,1328.15
Nifty200 Value 30,2006-02-10,1344.42
Nifty200 Value 30,2006-02-13,1361.7
Nifty200 Value 30,2006-02-14,1346.24
Nifty200 Value 30,2006-02-15,1350.46
Nifty200 Value 30,2006-02-16,1360.81
Nifty200 Value 30,2006-02-17,1327.73
Nifty200 Value 30,2006-02-20,1327.96
Nifty200 Value 30,2006-02-21,1337.37
Nifty200 Value 30,2006-02-22,1343.0
Nifty200 Value 30,2006-02-23,1337.07
Nifty200 Value 30,2006-02-24,1357.03
Nifty200 Value 30,2006-02-27,1363.87
Nifty200 Value 30,2006-02-28,1345.04
Nifty200 Value 30,2006-03-01,1353.18
Nifty200 Value 30,2006-03-02,1370.66
Nifty200 Value 30,2006-03-03,1366.72
Nifty200 Value 30,2006-03-06,1378.61
Nifty200 Value 30,2006-03-07,1382.74
Nifty200 Value 30,2006-03-08,1354.9
Nifty200 Value 30,2006-03-09,1358.04
Nifty200 Value 30,2006-03-10,1373.44
Nifty200 Value 30,2006-03-13,1381.15
Nifty200 Value 30,2006-03-14,1372.56
Nifty200 Value 30,2006-03-16,1377.5
Nifty200 Value 30,2006-03-17,1379.25
Nifty200 Value 30,2006-03-20,1388.42
Nifty200 Value 30,2006-03-21,1384.58
Nifty200 Value 30,2006-03-22,1378.53
Nifty200 Value 30,2006-03-23,1390.04
Nifty200 Value 30,2006-03-24,1402.83
Nifty200 Value 30,2006-03-27,1425.95
Nifty200 Value 30,2006-03-28,1416.06
Nifty200 Value 30,2006-03-29,1420.29
Nifty200 Value 30,2006-03-30,1419.84
Nifty200 Value 30,2006-03-31,1433.12
Nifty200 Value 30,2006-04-03,1456.04
Nifty200 Value 30,2006-04-04,1480.0
Nifty200 Value 30,2006-04-05,1492.32
Nifty200 Value 30,2006-04-07,1458.16
Nifty200 Value 30,2006-04-10,1476.26
Nifty200 Value 30,2006-04-12,1446.69
Nifty200 Value 30,2006-04-13,1428.67
Nifty200 Value 30,2006-04-17,1454.82
Nifty200 Value 30,2006-04-18,1464.66
Nifty200 Value 30,2006-04-19,1459.37
Nifty200 Value 30,2006-04-20,1473.86
Nifty200 Value 30,2006-04-21,1475.31
Nifty200 Value 30,2006-04-24,1473.59
Nifty200 Value 30,2006-04-25,1439.05
Nifty200 Value 30,2006-04-26,1470.76
Nifty200 Value 30,2006-04-27,1441.72
Nifty200 Value 30,2006-04-28,1438.47
Nifty200 Value 30,2006-04-29,1464.72
Nifty200 Value 30,2006-05-02,1505.99
Nifty200 Value 30,2006-05-03,1523.89
Nifty200 Value 30,2006-05-04,1536.64
Nifty200 Value 30,2006-05-05,1547.03
Nifty200 Value 30,2006-05-08,1552.69
Nifty200 Value 30,2006-05-09,1564.45
Nifty200 Value 30,2006-05-10,1594.78
Nifty200 Value 30,2006-05-11,1565.31
Nifty200 Value 30,2006-05-12,1533.15
Nifty200 Value 30,2006-05-15,1455.77
Nifty200 Value 30,2006-05-16,1447.47
Nifty200 Value 30,2006-05-17,1500.73
Nifty200 Value 30,2006-05-18,1387.43
Nifty200 Value 30,2006-05-19,1327.66
Nifty200 Value 30,2006-05-22,1241.89
Nifty200 Value 30,2006-05-23,1303.63
Nifty200 Value 30,2006-05-24,1284.18
Nifty200 Value 30,2006-05-25,1297.8
Nifty200 Value 30,2006-05-26,1336.77
Nifty200 Value 30,2006-05-29,1338.52
Nifty200 Value 30,2006-05-30,1319.85
Nifty200 Value 30,2006-05-31,1274.86
Nifty200 Value 30,2006-06-01,1230.12
Nifty200 Value 30,2006-06-02,1261.73
Nifty200 Value 30,2006-06-05,1225.77
Nifty200 Value 30,2006-06-06,1197.74
Nifty200 Value 30,2006-06-07,1138.11
Nifty200 Value 30,2006-06-08,1063.36
Nifty200 Value 30,2006-06-09,1133.69
Nifty200 Value 30,2006-06-12,1090.64
Nifty200 Value 30,2006-06-13,1035.89
Nifty200 Value 30,2006-06-14,1034.16
Nifty200 Value 30,2006-06-15,1098.18
Nifty200 Value 30,2006-06-16,1122.47
Nifty200 Value 30,2006-06-19,1138.52
Nifty200 Value 30,2006-06-20,1126.37
Nifty200 Value 30,2006-06-21,1140.45
Nifty200 Value 30,2006-06-22,1176.81
Nifty200 Value 30,2006-06-23,1185.46
Nifty200 Value 30,2006-06-25,1191.51
Nifty200 Value 30,2006-06-26,1140.9
Nifty200 Value 30,2006-06-27,1140.19
Nifty200 Value 30,2006-06-28,1132.27
Nifty200 Value 30,2006-06-29,1127.9
Nifty200 Value 30,2006-06-30,1166.97
Nifty200 Value 30,2006-07-03,1168.8
Nifty200 Value 30,2006-07-04,1175.03
Nifty200 Value 30,2006-07-05,1192.25
Nifty200 Value 30,2006-07-06,1177.66
Nifty200 Value 30,2006-07-07,1139.1
Nifty200 Value 30,2006-07-10,1154.95
Nifty200 Value 30,2006-07-11,1153.2
Nifty200 Value 30,2006-07-12,1154.3
Nifty200 Value 30,2006-07-13,1148.33
Nifty200 Value 30,2006-07-14,1129.07
Nifty200 Value 30,2006-07-17,1089.36
Nifty200 Value 30,2006-07-18,1068.4
Nifty200 Value 30,2006-07-19,1051.2
Nifty200 Value 30,2006-07-20,1090.72
Nifty200 Value 30,2006-07-21,1071.57
Nifty200 Value 30,2006-07-24,1092.03
Nifty200 Value 30,2006-07-25,1125.84
Nifty200 Value 30,2006-07-26,1149.31
Nifty200 Value 30,2006-07-27,1161.02
Nifty200 Value 30,2006-07-28,1166.02
Nifty200 Value 30,2006-07-31,1172.77
Nifty200 Value 30,2006-08-01,1167.43
Nifty200 Value 30,2006-08-02,1183.45
Nifty200 Value 30,2006-08-03,1189.67
Nifty200 Value 30,2006-08-04,1175.28
Nifty200 Value 30,2006-08-07,1176.87
Nifty200 Value 30,2006-08-08,1201.25
Nifty200 Value 30,2006-08-09,1223.02
Nifty200 Value 30,2006-08-10,1234.07
Nifty200 Value 30,2006-08-11,1238.78
Nifty200 Value 30,2006-08-14,1261.7
Nifty200 Value 30,2006-08-16,1294.63
Nifty200 Value 30,2006-08-17,1281.72
Nifty200 Value 30,2006-08-18,1285.62
Nifty200 Value 30,2006-08-21,1306.67
Nifty200 Value 30,2006-08-22,1296.93
Nifty200 Value 30,2006-08-23,1278.61
Nifty200 Value 30,2006-08-24,1299.16
Nifty200 Value 30,2006-08-25,1313.31
Nifty200 Value 30,2006-08-28,1327.47
Nifty200 Value 30,2006-08-29,1334.09
Nifty200 Value 30,2006-08-30,1351.79
Nifty200 Value 30,2006-08-31,1336.06
Nifty200 Value 30,2006-09-01,1351.34
Nifty200 Value 30,2006-09-04,1372.6
Nifty200 Value 30,2006-09-05,1381.11
Nifty200 Value 30,2006-09-06,1390.95
Nifty200 Value 30,2006-09-07,1376.26
Nifty200 Value 30,2006-09-08,1394.06
Nifty200 Value 30,2006-09-11,1341.1
Nifty200 Value 30,2006-09-12,1362.53
Nifty200 Value 30,2006-09-13,1405.81
Nifty200 Value 30,2006-09-14,1419.26
Nifty200 Value 30,2006-09-15,1421.37
Nifty200 Value 30,2006-09-18,1427.53
Nifty200 Value 30,2006-09-19,1400.05
Nifty200 Value 30,2006-09-20,1412.42
Nifty200 Value 30,2006-09-21,1430.98
Nifty200 Value 30,2006-09-22,1424.38
Nifty200 Value 30,2006-09-25,1426.71
Nifty200 Value 30,2006-09-26,1439.91
Nifty200 Value 30,2006-09-27,1453.96
Nifty200 Value 30,2006-09-28,1482.58
Nifty200 Value 30,2006-09-29,1481.25
Nifty200 Value 30,2006-10-03,1480.21
Nifty200 Value 30,2006-10-04,1463.92
Nifty200 Value 30,2006-10-05,1495.56
Nifty200 Value 30,2006-10-06,1504.41
Nifty200 Value 30,2006-10-09,1501.8
Nifty200 Value 30,2006-10-10,1494.17
Nifty200 Value 30,2006-10-11,1472.37
Nifty200 Value 30,2006-10-12,1500.13
Nifty200 Value 30,2006-10-13,1497.32
Nifty200 Value 30,2006-10-16,1493.46
Nifty200 Value 30,2006-10-17,1481.38
Nifty200 Value 30,2006-10-18,1472.97
Nifty200 Value 30,2006-10-19,1453.05
