IndexName,Date,Total Returns Index
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-01,1000.0
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-04,1005.18
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-05,998.08
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-06,1009.33
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-07,1008.7
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-08,1001.1
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-11,991.89
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-12,999.74
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-13,1000.45
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-15,973.38
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-18,964.69
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-19,959.48
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-20,964.92
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-21,978.88
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-22,990.25
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-25,994.53
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-26,993.17
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-27,985.08
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-28,982.64
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-04-29,966.08
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-02,962.91
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-03,966.07
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-04,978.78
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-05,990.5
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-06,995.93
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-09,1009.41
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-10,1010.07
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-11,1011.23
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-12,1021.94
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-13,1028.3
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-16,1039.56
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-17,1028.05
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-18,1028.91
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-19,1036.6
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-20,1036.16
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-23,1044.72
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-24,1048.18
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-25,1053.95
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-26,1056.19
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-27,1052.69
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-30,1046.14
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-05-31,1055.66
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-06-01,1061.83
Nifty500 LargeMidSmall Equal-Cap Weighted,2005-06-02,1054.26
