IndexName,Date,Total Returns Index
Nifty500 Low Volatility 50,2005-04-01,1000.0
Nifty500 Low Volatility 50,2005-04-04,1002.46
Nifty500 Low Volatility 50,2005-04-05,998.47
Nifty500 Low Volatility 50,2005-04-06,1003.99
Nifty500 Low Volatility 50,2005-04-07,999.23
Nifty500 Low Volatility 50,2005-04-08,989.93
Nifty500 Low Volatility 50,2005-04-11,982.73
Nifty500 Low Volatility 50,2005-04-12,990.83
Nifty500 Low Volatility 50,2005-04-13,994.32
Nifty500 Low Volatility 50,2005-04-15,970.86
Nifty500 Low Volatility 50,2005-04-18,960.32
Nifty500 Low Volatility 50,2005-04-19,956.46
Nifty500 Low Volatility 50,2005-04-20,966.82
Nifty500 Low Volatility 50,2005-04-21,974.9
Nifty500 Low Volatility 50,2005-04-22,986.25
Nifty500 Low Volatility 50,2005-04-25,990.42
Nifty500 Low Volatility 50,2005-04-26,986.61
Nifty500 Low Volatility 50,2005-04-27,981.88
Nifty500 Low Volatility 50,2005-04-28,987.32
Nifty500 Low Volatility 50,2005-04-29,966.82
Nifty500 Low Volatility 50,2005-05-02,969.9
Nifty500 Low Volatility 50,2005-05-03,974.45
Nifty500 Low Volatility 50,2005-05-04,987.27
Nifty500 Low Volatility 50,2005-05-05,996.16
Nifty500 Low Volatility 50,2005-05-06,1000.59
Nifty500 Low Volatility 50,2005-05-09,1012.65
Nifty500 Low Volatility 50,2005-05-10,1013.13
Nifty500 Low Volatility 50,2005-05-11,1011.9
Nifty500 Low Volatility 50,2005-05-12,1017.17
Nifty500 Low Volatility 50,2005-05-13,1018.84
Nifty500 Low Volatility 50,2005-05-16,1024.78
Nifty500 Low Volatility 50,2005-05-17,1017.03
Nifty500 Low Volatility 50,2005-05-18,1013.95
Nifty500 Low Volatility 50,2005-05-19,1018.44
Nifty500 Low Volatility 50,2005-05-20,1019.8
Nifty500 Low Volatility 50,2005-05-23,1025.88
Nifty500 Low Volatility 50,2005-05-24,1028.34
Nifty500 Low Volatility 50,2005-05-25,1036.48
Nifty500 Low Volatility 50,2005-05-26,1046.55
Nifty500 Low Volatility 50,2005-05-27,1050.01
Nifty500 Low Volatility 50,2005-05-30,1045.9
Nifty500 Low Volatility 50,2005-05-31,1053.17
Nifty500 Low Volatility 50,2005-06-01,1060.64
Nifty500 Low Volatility 50,2005-06-02,1052.62
Nifty500 Low Volatility 50,2005-06-03,1060.08
Nifty500 Low Volatility 50,2005-06-04,1062.42
Nifty500 Low Volatility 50,2005-06-06,1062.49
Nifty500 Low Volatility 50,2005-06-07,1064.81
Nifty500 Low Volatility 50,2005-06-08,1072.64
Nifty500 Low Volatility 50,2005-06-09,1071.47
Nifty500 Low Volatility 50,2005-06-10,1066.09
Nifty500 Low Volatility 50,2005-06-13,1070.66
Nifty500 Low Volatility 50,2005-06-14,1073.47
Nifty500 Low Volatility 50,2005-06-15,1075.85
