IndexName,Date,Total Returns Index
NIFTY500 MULTICAP 50:25:25,2005-04-01,1000.0
NIFTY500 MULTICAP 50:25:25,2005-04-04,1003.22
NIFTY500 MULTICAP 50:25:25,2005-04-05,996.44
NIFTY500 MULTICAP 50:25:25,2005-04-06,1006.6
NIFTY500 MULTICAP 50:25:25,2005-04-07,1004.65
NIFTY500 MULTICAP 50:25:25,2005-04-08,996.78
NIFTY500 MULTICAP 50:25:25,2005-04-11,987.15
NIFTY500 MULTICAP 50:25:25,2005-04-12,994.95
NIFTY500 MULTICAP 50:25:25,2005-04-13,995.63
NIFTY500 MULTICAP 50:25:25,2005-04-15,967.86
NIFTY500 MULTICAP 50:25:25,2005-04-18,958.35
NIFTY500 MULTICAP 50:25:25,2005-04-19,952.44
NIFTY500 MULTICAP 50:25:25,2005-04-20,958.55
NIFTY500 MULTICAP 50:25:25,2005-04-21,971.56
NIFTY500 MULTICAP 50:25:25,2005-04-22,981.91
NIFTY500 MULTICAP 50:25:25,2005-04-25,985.93
NIFTY500 MULTICAP 50:25:25,2005-04-26,983.62
NIFTY500 MULTICAP 50:25:25,2005-04-27,975.05
NIFTY500 MULTICAP 50:25:25,2005-04-28,972.55
NIFTY500 MULTICAP 50:25:25,2005-04-29,956.02
NIFTY500 MULTICAP 50:25:25,2005-05-02,955.08
NIFTY500 MULTICAP 50:25:25,2005-05-03,957.78
NIFTY500 MULTICAP 50:25:25,2005-05-04,969.91
NIFTY500 MULTICAP 50:25:25,2005-05-05,981.52
NIFTY500 MULTICAP 50:25:25,2005-05-06,987.14
NIFTY500 MULTICAP 50:25:25,2005-05-09,1000.05
NIFTY500 MULTICAP 50:25:25,2005-05-10,999.85
NIFTY500 MULTICAP 50:25:25,2005-05-11,999.59
NIFTY500 MULTICAP 50:25:25,2005-05-12,1008.61
NIFTY500 MULTICAP 50:25:25,2005-05-13,1012.87
NIFTY500 MULTICAP 50:25:25,2005-05-16,1023.69
NIFTY500 MULTICAP 50:25:25,2005-05-17,1012.28
NIFTY500 MULTICAP 50:25:25,2005-05-18,1011.92
NIFTY500 MULTICAP 50:25:25,2005-05-19,1018.75
NIFTY500 MULTICAP 50:25:25,2005-05-20,1018.67
NIFTY500 MULTICAP 50:25:25,2005-05-23,1027.58
NIFTY500 MULTICAP 50:25:25,2005-05-24,1031.65
NIFTY500 MULTICAP 50:25:25,2005-05-25,1037.46
