IndexName,Date,Total Returns Index
Nifty500 Multicap Momentum Quality 50,2005-04-01,1000.0
Nifty500 Multicap Momentum Quality 50,2005-04-04,1002.14
Nifty500 Multicap Momentum Quality 50,2005-04-05,987.79
Nifty500 Multicap Momentum Quality 50,2005-04-06,997.86
Nifty500 Multicap Momentum Quality 50,2005-04-07,996.71
Nifty500 Multicap Momentum Quality 50,2005-04-08,983.87
Nifty500 Multicap Momentum Quality 50,2005-04-11,978.93
Nifty500 Multicap Momentum Quality 50,2005-04-12,989.64
Nifty500 Multicap Momentum Quality 50,2005-04-13,991.02
Nifty500 Multicap Momentum Quality 50,2005-04-15,962.06
Nifty500 Multicap Momentum Quality 50,2005-04-18,948.85
Nifty500 Multicap Momentum Quality 50,2005-04-19,942.25
Nifty500 Multicap Momentum Quality 50,2005-04-20,953.16
Nifty500 Multicap Momentum Quality 50,2005-04-21,968.36
Nifty500 Multicap Momentum Quality 50,2005-04-22,985.07
Nifty500 Multicap Momentum Quality 50,2005-04-25,986.13
Nifty500 Multicap Momentum Quality 50,2005-04-26,986.04
Nifty500 Multicap Momentum Quality 50,2005-04-27,978.66
Nifty500 Multicap Momentum Quality 50,2005-04-28,978.23
Nifty500 Multicap Momentum Quality 50,2005-04-29,960.9
Nifty500 Multicap Momentum Quality 50,2005-05-02,960.16
Nifty500 Multicap Momentum Quality 50,2005-05-03,964.25
Nifty500 Multicap Momentum Quality 50,2005-05-04,976.83
Nifty500 Multicap Momentum Quality 50,2005-05-05,985.19
Nifty500 Multicap Momentum Quality 50,2005-05-06,987.03
Nifty500 Multicap Momentum Quality 50,2005-05-09,1000.13
Nifty500 Multicap Momentum Quality 50,2005-05-10,996.66
Nifty500 Multicap Momentum Quality 50,2005-05-11,994.85
Nifty500 Multicap Momentum Quality 50,2005-05-12,998.33
Nifty500 Multicap Momentum Quality 50,2005-05-13,1002.2
Nifty500 Multicap Momentum Quality 50,2005-05-16,1012.54
