IndexName,Date,Total Returns Index
Nifty500 Quality 50,2005-04-01,1000.0
Nifty500 Quality 50,2005-04-04,996.81
Nifty500 Quality 50,2005-04-05,985.34
Nifty500 Quality 50,2005-04-06,994.42
Nifty500 Quality 50,2005-04-07,992.09
Nifty500 Quality 50,2005-04-08,982.17
Nifty500 Quality 50,2005-04-11,973.97
Nifty500 Quality 50,2005-04-12,982.55
Nifty500 Quality 50,2005-04-13,982.54
Nifty500 Quality 50,2005-04-15,948.26
Nifty500 Quality 50,2005-04-18,934.03
Nifty500 Quality 50,2005-04-19,922.97
Nifty500 Quality 50,2005-04-20,941.84
Nifty500 Quality 50,2005-04-21,953.51
Nifty500 Quality 50,2005-04-22,964.93
Nifty500 Quality 50,2005-04-25,967.07
Nifty500 Quality 50,2005-04-26,962.65
Nifty500 Quality 50,2005-04-27,956.4
Nifty500 Quality 50,2005-04-28,957.66
Nifty500 Quality 50,2005-04-29,939.85
Nifty500 Quality 50,2005-05-02,943.79
Nifty500 Quality 50,2005-05-03,943.33
Nifty500 Quality 50,2005-05-04,955.88
Nifty500 Quality 50,2005-05-05,967.46
Nifty500 Quality 50,2005-05-06,972.21
Nifty500 Quality 50,2005-05-09,985.99
Nifty500 Quality 50,2005-05-10,984.85
Nifty500 Quality 50,2005-05-11,980.64
Nifty500 Quality 50,2005-05-12,985.86
Nifty500 Quality 50,2005-05-13,985.08
Nifty500 Quality 50,2005-05-16,993.79
Nifty500 Quality 50,2005-05-17,984.46
Nifty500 Quality 50,2005-05-18,980.86
Nifty500 Quality 50,2005-05-19,987.24
Nifty500 Quality 50,2005-05-20,986.66
Nifty500 Quality 50,2005-05-23,989.62
Nifty500 Quality 50,2005-05-24,998.48
Nifty500 Quality 50,2005-05-25,1005.98
Nifty500 Quality 50,2005-05-26,1014.35
Nifty500 Quality 50,2005-05-27,1018.22
Nifty500 Quality 50,2005-05-30,1014.23
Nifty500 Quality 50,2005-05-31,1021.5
Nifty500 Quality 50,2005-06-01,1023.86
Nifty500 Quality 50,2005-06-02,1014.99
Nifty500 Quality 50,2005-06-03,1023.27
Nifty500 Quality 50,2005-06-04,1026.86
Nifty500 Quality 50,2005-06-06,1025.51
Nifty500 Quality 50,2005-06-07,1027.59
Nifty500 Quality 50,2005-06-08,1033.58
Nifty500 Quality 50,2005-06-09,1029.59
Nifty500 Quality 50,2005-06-10,1020.83
Nifty500 Quality 50,2005-06-13,1020.1
Nifty500 Quality 50,2005-06-14,1021.35
Nifty500 Quality 50,2005-06-15,1026.31
Nifty500 Quality 50,2005-06-16,1021.92
Nifty500 Quality 50,2005-06-17,1018.17
Nifty500 Quality 50,2005-06-20,1020.68
Nifty500 Quality 50,2005-06-21,1031.57
Nifty500 Quality 50,2005-06-22,1035.03
Nifty500 Quality 50,2005-06-23,1039.44
Nifty500 Quality 50,2005-06-24,1045.15
Nifty500 Quality 50,2005-06-27,1043.93
Nifty500 Quality 50,2005-06-28,1026.5
Nifty500 Quality 50,2005-06-29,1035.54
Nifty500 Quality 50,2005-06-30,1038.35
Nifty500 Quality 50,2005-07-01,1045.08
Nifty500 Quality 50,2005-07-04,1054.26
Nifty500 Quality 50,2005-07-05,1047.41
Nifty500 Quality 50,2005-07-06,1057.9
Nifty500 Quality 50,2005-07-07,1043.0
Nifty500 Quality 50,2005-07-08,1056.59
Nifty500 Quality 50,2005-07-11,1065.58
Nifty500 Quality 50,2005-07-12,1065.21
Nifty500 Quality 50,2005-07-13,1063.13
Nifty500 Quality 50,2005-07-14,1057.09
Nifty500 Quality 50,2005-07-15,1067.08
Nifty500 Quality 50,2005-07-18,1082.46
Nifty500 Quality 50,2005-07-19,1086.94
Nifty500 Quality 50,2005-07-20,1090.81
Nifty500 Quality 50,2005-07-21,1087.17
Nifty500 Quality 50,2005-07-22,1098.43
