IndexName,Date,Total Returns Index
Nifty 50,2005-04-01,2406.95
Nifty 50,2005-04-04,2402.0
Nifty 50,2005-04-05,2389.37
Nifty 50,2005-04-06,2408.87
Nifty 50,2005-04-07,2389.72
Nifty 50,2005-04-08,2364.51
Nifty 50,2005-04-11,2337.74
Nifty 50,2005-04-12,2357.24
Nifty 50,2005-04-13,2357.82
Nifty 50,2005-04-15,2277.32
Nifty 50,2005-04-18,2244.15
Nifty 50,2005-04-19,2222.73
Nifty 50,2005-04-20,2246.36
Nifty 50,2005-04-21,2268.3
Nifty 50,2005-04-22,2290.19
Nifty 50,2005-04-25,2294.38
Nifty 50,2005-04-26,2278.25
Nifty 50,2005-04-27,2252.99
Nifty 50,2005-04-28,2259.86
Nifty 50,2005-04-29,2214.96
Nifty 50,2005-05-02,2231.6
Nifty 50,2005-05-03,2236.2
Nifty 50,2005-05-04,2261.69
Nifty 50,2005-05-05,2286.03
Nifty 50,2005-05-06,2302.56
Nifty 50,2005-05-09,2329.63
Nifty 50,2005-05-10,2322.12
Nifty 50,2005-05-11,2312.46
Nifty 50,2005-05-12,2323.33
Nifty 50,2005-05-13,2317.68
Nifty 50,2005-05-16,2346.0
Nifty 50,2005-05-17,2320.59
Nifty 50,2005-05-18,2311.21
Nifty 50,2005-05-19,2320.65
Nifty 50,2005-05-20,2322.46
Nifty 50,2005-05-23,2347.52
Nifty 50,2005-05-24,2364.65
Nifty 50,2005-05-25,2382.43
Nifty 50,2005-05-26,2418.7
Nifty 50,2005-05-27,2420.68
Nifty 50,2005-05-30,2416.07
Nifty 50,2005-05-31,2433.73
Nifty 50,2005-06-01,2434.11
Nifty 50,2005-06-02,2407.41
Nifty 50,2005-06-03,2441.92
Nifty 50,2005-06-04,2439.7
Nifty 50,2005-06-06,2440.23
Nifty 50,2005-06-07,2449.67
Nifty 50,2005-06-08,2466.31
Nifty 50,2005-06-09,2455.56
Nifty 50,2005-06-10,2440.85
Nifty 50,2005-06-13,2455.04
Nifty 50,2005-06-14,2466.25
Nifty 50,2005-06-15,2485.28
Nifty 50,2005-06-16,2480.18
Nifty 50,2005-06-17,2481.23
Nifty 50,2005-06-20,2505.71
Nifty 50,2005-06-21,2535.68
Nifty 50,2005-06-22,2555.96
Nifty 50,2005-06-23,2552.83
Nifty 50,2005-06-24,2565.1
Nifty 50,2005-06-27,2571.47
Nifty 50,2005-06-28,2536.46
Nifty 50,2005-06-29,2566.03
Nifty 50,2005-06-30,2599.93
Nifty 50,2005-07-01,2589.74
Nifty 50,2005-07-04,2611.69
Nifty 50,2005-07-05,2588.39
Nifty 50,2005-07-06,2609.34
Nifty 50,2005-07-07,2552.27
Nifty 50,2005-07-08,2571.95
Nifty 50,2005-07-11,2598.47
Nifty 50,2005-07-12,2601.07
Nifty 50,2005-07-13,2581.46
Nifty 50,2005-07-14,2559.47
Nifty 50,2005-07-15,2591.62
Nifty 50,2005-07-18,2618.41
Nifty 50,2005-07-19,2622.28
Nifty 50,2005-07-20,2628.52
Nifty 50,2005-07-21,2615.28
Nifty 50,2005-07-22,2656.43
Nifty 50,2005-07-25,2687.09
Nifty 50,2005-07-26,2700.46
Nifty 50,2005-07-27,2719.16
Nifty 50,2005-07-29,2711.24
Nifty 50,2005-08-01,2717.98
Nifty 50,2005-08-02,2759.72
Nifty 50,2005-08-03,2763.65
Nifty 50,2005-08-04,2777.66
Nifty 50,2005-08-05,2769.92
Nifty 50,2005-08-08,2727.9
Nifty 50,2005-08-09,2721.21
Nifty 50,2005-08-10,2769.86
Nifty 50,2005-08-11,2795.89
Nifty 50,2005-08-12,2773.66
Nifty 50,2005-08-16,2783.35
Nifty 50,2005-08-17,2822.69
Nifty 50,2005-08-18,2805.73
Nifty 50,2005-08-19,2800.08
Nifty 50,2005-08-22,2781.76
Nifty 50,2005-08-23,2732.71
Nifty 50,2005-08-24,2728.48
