IndexName,Date,Total Returns Index
Nifty Alpha 50,2005-04-01,1618.46
Nifty Alpha 50,2005-04-04,1636.76
Nifty Alpha 50,2005-04-05,1627.31
Nifty Alpha 50,2005-04-06,1649.01
Nifty Alpha 50,2005-04-07,1652.04
Nifty Alpha 50,2005-04-08,1635.03
Nifty Alpha 50,2005-04-11,1611.85
Nifty Alpha 50,2005-04-12,1626.45
Nifty Alpha 50,2005-04-13,1628.33
Nifty Alpha 50,2005-04-15,1581.04
Nifty Alpha 50,2005-04-18,1559.03
Nifty Alpha 50,2005-04-19,1554.58
Nifty Alpha 50,2005-04-20,1570.67
Nifty Alpha 50,2005-04-21,1605.42
Nifty Alpha 50,2005-04-22,1630.52
Nifty Alpha 50,2005-04-25,1639.76
Nifty Alpha 50,2005-04-26,1641.73
Nifty Alpha 50,2005-04-27,1618.49
Nifty Alpha 50,2005-04-28,1611.29
Nifty Alpha 50,2005-04-29,1577.55
Nifty Alpha 50,2005-05-02,1574.36
Nifty Alpha 50,2005-05-03,1578.88
Nifty Alpha 50,2005-05-04,1601.92
Nifty Alpha 50,2005-05-05,1608.39
Nifty Alpha 50,2005-05-06,1615.25
Nifty Alpha 50,2005-05-09,1627.21
Nifty Alpha 50,2005-05-10,1623.96
Nifty Alpha 50,2005-05-11,1621.44
Nifty Alpha 50,2005-05-12,1638.79
Nifty Alpha 50,2005-05-13,1651.02
Nifty Alpha 50,2005-05-16,1674.93
Nifty Alpha 50,2005-05-17,1655.54
Nifty Alpha 50,2005-05-18,1661.77
Nifty Alpha 50,2005-05-19,1673.1
Nifty Alpha 50,2005-05-20,1662.48
Nifty Alpha 50,2005-05-23,1671.63
Nifty Alpha 50,2005-05-24,1676.38
Nifty Alpha 50,2005-05-25,1684.85
Nifty Alpha 50,2005-05-26,1677.24
Nifty Alpha 50,2005-05-27,1671.54
Nifty Alpha 50,2005-05-30,1657.3
Nifty Alpha 50,2005-05-31,1666.78
Nifty Alpha 50,2005-06-01,1676.17
Nifty Alpha 50,2005-06-02,1665.12
Nifty Alpha 50,2005-06-03,1674.63
Nifty Alpha 50,2005-06-04,1681.02
Nifty Alpha 50,2005-06-06,1690.91
Nifty Alpha 50,2005-06-07,1702.37
Nifty Alpha 50,2005-06-08,1708.18
Nifty Alpha 50,2005-06-09,1714.3
Nifty Alpha 50,2005-06-10,1703.59
Nifty Alpha 50,2005-06-13,1700.8
Nifty Alpha 50,2005-06-14,1711.91
Nifty Alpha 50,2005-06-15,1726.56
Nifty Alpha 50,2005-06-16,1701.22
Nifty Alpha 50,2005-06-17,1680.18
Nifty Alpha 50,2005-06-20,1668.16
Nifty Alpha 50,2005-06-21,1678.45
Nifty Alpha 50,2005-06-22,1681.33
Nifty Alpha 50,2005-06-23,1688.45
Nifty Alpha 50,2005-06-24,1703.63
Nifty Alpha 50,2005-06-27,1689.98
Nifty Alpha 50,2005-06-28,1651.79
Nifty Alpha 50,2005-06-29,1677.03
Nifty Alpha 50,2005-06-30,1677.34
Nifty Alpha 50,2005-07-01,1708.58
Nifty Alpha 50,2005-07-04,1744.61
Nifty Alpha 50,2005-07-05,1741.25
Nifty Alpha 50,2005-07-06,1781.99
Nifty Alpha 50,2005-07-07,1752.12
Nifty Alpha 50,2005-07-08,1796.43
Nifty Alpha 50,2005-07-11,1836.18
Nifty Alpha 50,2005-07-12,1845.16
Nifty Alpha 50,2005-07-13,1851.62
Nifty Alpha 50,2005-07-14,1845.16
Nifty Alpha 50,2005-07-15,1866.46
Nifty Alpha 50,2005-07-18,1888.19
Nifty Alpha 50,2005-07-19,1890.26
Nifty Alpha 50,2005-07-20,1889.46
Nifty Alpha 50,2005-07-21,1882.67
Nifty Alpha 50,2005-07-22,1908.71
Nifty Alpha 50,2005-07-25,1919.26
Nifty Alpha 50,2005-07-26,1928.8
Nifty Alpha 50,2005-07-27,1934.35
