IndexName,Date,Total Returns Index
NIFTY Alpha Quality Low-Volatility 30,2005-04-01,1000.0
NIFTY Alpha Quality Low-Volatility 30,2005-04-04,1000.61
NIFTY Alpha Quality Low-Volatility 30,2005-04-05,989.23
NIFTY Alpha Quality Low-Volatility 30,2005-04-06,991.37
NIFTY Alpha Quality Low-Volatility 30,2005-04-07,993.32
NIFTY Alpha Quality Low-Volatility 30,2005-04-08,986.38
NIFTY Alpha Quality Low-Volatility 30,2005-04-11,977.88
NIFTY Alpha Quality Low-Volatility 30,2005-04-12,986.38
NIFTY Alpha Quality Low-Volatility 30,2005-04-13,989.18
NIFTY Alpha Quality Low-Volatility 30,2005-04-15,974.3
NIFTY Alpha Quality Low-Volatility 30,2005-04-18,966.28
NIFTY Alpha Quality Low-Volatility 30,2005-04-19,959.3
NIFTY Alpha Quality Low-Volatility 30,2005-04-20,970.16
NIFTY Alpha Quality Low-Volatility 30,2005-04-21,987.15
NIFTY Alpha Quality Low-Volatility 30,2005-04-22,993.94
NIFTY Alpha Quality Low-Volatility 30,2005-04-25,996.51
NIFTY Alpha Quality Low-Volatility 30,2005-04-26,994.65
NIFTY Alpha Quality Low-Volatility 30,2005-04-27,984.25
NIFTY Alpha Quality Low-Volatility 30,2005-04-28,980.28
NIFTY Alpha Quality Low-Volatility 30,2005-04-29,962.83
NIFTY Alpha Quality Low-Volatility 30,2005-05-02,962.09
NIFTY Alpha Quality Low-Volatility 30,2005-05-03,967.55
NIFTY Alpha Quality Low-Volatility 30,2005-05-04,977.99
NIFTY Alpha Quality Low-Volatility 30,2005-05-05,986.45
NIFTY Alpha Quality Low-Volatility 30,2005-05-06,988.72
NIFTY Alpha Quality Low-Volatility 30,2005-05-09,1003.06
NIFTY Alpha Quality Low-Volatility 30,2005-05-10,1003.32
NIFTY Alpha Quality Low-Volatility 30,2005-05-11,998.27
NIFTY Alpha Quality Low-Volatility 30,2005-05-12,1003.61
NIFTY Alpha Quality Low-Volatility 30,2005-05-13,1005.55
NIFTY Alpha Quality Low-Volatility 30,2005-05-16,1014.42
NIFTY Alpha Quality Low-Volatility 30,2005-05-17,1003.81
NIFTY Alpha Quality Low-Volatility 30,2005-05-18,1001.47
NIFTY Alpha Quality Low-Volatility 30,2005-05-19,1008.48
NIFTY Alpha Quality Low-Volatility 30,2005-05-20,1008.07
NIFTY Alpha Quality Low-Volatility 30,2005-05-23,1010.61
NIFTY Alpha Quality Low-Volatility 30,2005-05-24,1016.53
NIFTY Alpha Quality Low-Volatility 30,2005-05-25,1025.27
NIFTY Alpha Quality Low-Volatility 30,2005-05-26,1029.7
NIFTY Alpha Quality Low-Volatility 30,2005-05-27,1032.32
NIFTY Alpha Quality Low-Volatility 30,2005-05-30,1028.19
NIFTY Alpha Quality Low-Volatility 30,2005-05-31,1036.33
NIFTY Alpha Quality Low-Volatility 30,2005-06-01,1042.46
NIFTY Alpha Quality Low-Volatility 30,2005-06-02,1039.77
NIFTY Alpha Quality Low-Volatility 30,2005-06-03,1049.68
NIFTY Alpha Quality Low-Volatility 30,2005-06-04,1055.31
NIFTY Alpha Quality Low-Volatility 30,2005-06-06,1053.56
NIFTY Alpha Quality Low-Volatility 30,2005-06-07,1055.1
NIFTY Alpha Quality Low-Volatility 30,2005-06-08,1060.51
NIFTY Alpha Quality Low-Volatility 30,2005-06-09,1058.87
NIFTY Alpha Quality Low-Volatility 30,2005-06-10,1052.24
NIFTY Alpha Quality Low-Volatility 30,2005-06-13,1057.63
NIFTY Alpha Quality Low-Volatility 30,2005-06-14,1059.07
NIFTY Alpha Quality Low-Volatility 30,2005-06-15,1061.48
NIFTY Alpha Quality Low-Volatility 30,2005-06-16,1056.66
NIFTY Alpha Quality Low-Volatility 30,2005-06-17,1049.87
NIFTY Alpha Quality Low-Volatility 30,2005-06-20,1046.22
NIFTY Alpha Quality Low-Volatility 30,2005-06-21,1057.56
NIFTY Alpha Quality Low-Volatility 30,2005-06-22,1062.01
NIFTY Alpha Quality Low-Volatility 30,2005-06-23,1070.28
NIFTY Alpha Quality Low-Volatility 30,2005-06-24,1079.46
NIFTY Alpha Quality Low-Volatility 30,2005-06-27,1078.26
NIFTY Alpha Quality Low-Volatility 30,2005-06-28,1060.57
NIFTY Alpha Quality Low-Volatility 30,2005-06-29,1067.29
NIFTY Alpha Quality Low-Volatility 30,2005-06-30,1069.8
NIFTY Alpha Quality Low-Volatility 30,2005-07-01,1085.97
NIFTY Alpha Quality Low-Volatility 30,2005-07-04,1097.23
NIFTY Alpha Quality Low-Volatility 30,2005-07-05,1095.2
NIFTY Alpha Quality Low-Volatility 30,2005-07-06,1109.55
NIFTY Alpha Quality Low-Volatility 30,2005-07-07,1097.39
NIFTY Alpha Quality Low-Volatility 30,2005-07-08,1115.59
NIFTY Alpha Quality Low-Volatility 30,2005-07-11,1136.54
NIFTY Alpha Quality Low-Volatility 30,2005-07-12,1140.15
NIFTY Alpha Quality Low-Volatility 30,2005-07-13,1136.24
NIFTY Alpha Quality Low-Volatility 30,2005-07-14,1125.81
NIFTY Alpha Quality Low-Volatility 30,2005-07-15,1136.13
NIFTY Alpha Quality Low-Volatility 30,2005-07-18,1157.53
NIFTY Alpha Quality Low-Volatility 30,2005-07-19,1164.15
NIFTY Alpha Quality Low-Volatility 30,2005-07-20,1172.53
NIFTY Alpha Quality Low-Volatility 30,2005-07-21,1161.41
NIFTY Alpha Quality Low-Volatility 30,2005-07-22,1169.67
NIFTY Alpha Quality Low-Volatility 30,2005-07-25,1170.82
NIFTY Alpha Quality Low-Volatility 30,2005-07-26,1170.15
NIFTY Alpha Quality Low-Volatility 30,2005-07-27,1170.06
NIFTY Alpha Quality Low-Volatility 30,2005-07-29,1155.83
NIFTY Alpha Quality Low-Volatility 30,2005-08-01,1171.45
NIFTY Alpha Quality Low-Volatility 30,2005-08-02,1191.37
NIFTY Alpha Quality Low-Volatility 30,2005-08-03,1195.63
NIFTY Alpha Quality Low-Volatility 30,2005-08-04,1206.29
NIFTY Alpha Quality Low-Volatility 30,2005-08-05,1207.94
NIFTY Alpha Quality Low-Volatility 30,2005-08-08,1186.65
NIFTY Alpha Quality Low-Volatility 30,2005-08-09,1185.8
NIFTY Alpha Quality Low-Volatility 30,2005-08-10,1213.29
NIFTY Alpha Quality Low-Volatility 30,2005-08-11,1223.79
NIFTY Alpha Quality Low-Volatility 30,2005-08-12,1227.28
NIFTY Alpha Quality Low-Volatility 30,2005-08-16,1227.06
NIFTY Alpha Quality Low-Volatility 30,2005-08-17,1233.99
NIFTY Alpha Quality Low-Volatility 30,2005-08-18,1228.45
NIFTY Alpha Quality Low-Volatility 30,2005-08-19,1226.41
NIFTY Alpha Quality Low-Volatility 30,2005-08-22,1216.13
NIFTY Alpha Quality Low-Volatility 30,2005-08-23,1194.49
NIFTY Alpha Quality Low-Volatility 30,2005-08-24,1184.69
NIFTY Alpha Quality Low-Volatility 30,2005-08-25,1188.59
