IndexName,Date,Total Returns Index
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-01,1000.0
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-04,997.47
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-05,983.66
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-06,986.55
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-07,990.48
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-08,984.88
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-11,977.39
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-12,985.78
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-13,988.8
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-15,974.33
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-18,964.11
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-19,954.31
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-20,964.36
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-21,975.77
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-22,980.66
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-25,984.0
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-26,984.56
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-27,976.74
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-28,972.94
NIFTY Alpha Quality Value Low-Volatility 30,2005-04-29,954.82
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-02,956.61
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-03,959.48
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-04,972.22
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-05,984.92
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-06,988.45
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-09,1002.07
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-10,1000.71
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-11,994.49
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-12,997.28
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-13,998.32
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-16,1005.89
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-17,996.39
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-18,995.64
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-19,1000.74
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-20,1001.25
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-23,1006.14
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-24,1010.75
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-25,1016.92
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-26,1019.01
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-27,1022.29
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-30,1019.53
NIFTY Alpha Quality Value Low-Volatility 30,2005-05-31,1029.16
NIFTY Alpha Quality Value Low-Volatility 30,2005-06-01,1033.56
NIFTY Alpha Quality Value Low-Volatility 30,2005-06-02,1029.79
