IndexName,Date,Total Returns Index
NIFTY LargeMidcap 250,2005-04-01,1000.0
NIFTY LargeMidcap 250,2005-04-04,1003.41
NIFTY LargeMidcap 250,2005-04-05,997.05
NIFTY LargeMidcap 250,2005-04-06,1005.27
NIFTY LargeMidcap 250,2005-04-07,1002.36
NIFTY LargeMidcap 250,2005-04-08,994.84
NIFTY LargeMidcap 250,2005-04-11,984.05
NIFTY LargeMidcap 250,2005-04-12,991.41
NIFTY LargeMidcap 250,2005-04-13,992.65
NIFTY LargeMidcap 250,2005-04-15,966.26
NIFTY LargeMidcap 250,2005-04-18,956.51
NIFTY LargeMidcap 250,2005-04-19,951.98
NIFTY LargeMidcap 250,2005-04-20,958.04
NIFTY LargeMidcap 250,2005-04-21,971.19
NIFTY LargeMidcap 250,2005-04-22,981.0
NIFTY LargeMidcap 250,2005-04-25,984.55
NIFTY LargeMidcap 250,2005-04-26,981.72
NIFTY LargeMidcap 250,2005-04-27,971.91
NIFTY LargeMidcap 250,2005-04-28,968.39
NIFTY LargeMidcap 250,2005-04-29,953.35
NIFTY LargeMidcap 250,2005-05-02,953.46
NIFTY LargeMidcap 250,2005-05-03,955.29
NIFTY LargeMidcap 250,2005-05-04,965.37
NIFTY LargeMidcap 250,2005-05-05,975.89
NIFTY LargeMidcap 250,2005-05-06,981.26
NIFTY LargeMidcap 250,2005-05-09,993.28
NIFTY LargeMidcap 250,2005-05-10,991.88
NIFTY LargeMidcap 250,2005-05-11,991.35
NIFTY LargeMidcap 250,2005-05-12,998.91
NIFTY LargeMidcap 250,2005-05-13,1000.78
NIFTY LargeMidcap 250,2005-05-16,1010.91
NIFTY LargeMidcap 250,2005-05-17,1001.19
NIFTY LargeMidcap 250,2005-05-18,1001.82
NIFTY LargeMidcap 250,2005-05-19,1007.24
NIFTY LargeMidcap 250,2005-05-20,1006.16
NIFTY LargeMidcap 250,2005-05-23,1014.01
NIFTY LargeMidcap 250,2005-05-24,1019.26
NIFTY LargeMidcap 250,2005-05-25,1024.11
NIFTY LargeMidcap 250,2005-05-26,1028.69
NIFTY LargeMidcap 250,2005-05-27,1028.47
NIFTY LargeMidcap 250,2005-05-30,1024.04
NIFTY LargeMidcap 250,2005-05-31,1032.18
NIFTY LargeMidcap 250,2005-06-01,1035.86
