IndexName,Date,Total Returns Index
Nifty Low Volatility 50,2005-04-01,1233.5
Nifty Low Volatility 50,2005-04-04,1233.83
Nifty Low Volatility 50,2005-04-05,1228.97
Nifty Low Volatility 50,2005-04-06,1233.46
Nifty Low Volatility 50,2005-04-07,1231.7
Nifty Low Volatility 50,2005-04-08,1220.51
Nifty Low Volatility 50,2005-04-11,1212.07
Nifty Low Volatility 50,2005-04-12,1222.52
Nifty Low Volatility 50,2005-04-13,1225.89
Nifty Low Volatility 50,2005-04-15,1199.91
Nifty Low Volatility 50,2005-04-18,1190.31
Nifty Low Volatility 50,2005-04-19,1183.27
Nifty Low Volatility 50,2005-04-20,1193.35
Nifty Low Volatility 50,2005-04-21,1206.17
Nifty Low Volatility 50,2005-04-22,1218.24
Nifty Low Volatility 50,2005-04-25,1223.34
Nifty Low Volatility 50,2005-04-26,1219.21
Nifty Low Volatility 50,2005-04-27,1211.71
Nifty Low Volatility 50,2005-04-28,1214.65
Nifty Low Volatility 50,2005-04-29,1192.55
Nifty Low Volatility 50,2005-05-02,1198.58
Nifty Low Volatility 50,2005-05-03,1204.03
Nifty Low Volatility 50,2005-05-04,1216.06
Nifty Low Volatility 50,2005-05-05,1228.71
Nifty Low Volatility 50,2005-05-06,1235.54
Nifty Low Volatility 50,2005-05-09,1251.16
Nifty Low Volatility 50,2005-05-10,1250.65
Nifty Low Volatility 50,2005-05-11,1247.07
Nifty Low Volatility 50,2005-05-12,1253.13
Nifty Low Volatility 50,2005-05-13,1255.34
Nifty Low Volatility 50,2005-05-16,1267.52
Nifty Low Volatility 50,2005-05-17,1258.55
Nifty Low Volatility 50,2005-05-18,1254.24
Nifty Low Volatility 50,2005-05-19,1261.94
Nifty Low Volatility 50,2005-05-20,1263.53
Nifty Low Volatility 50,2005-05-23,1274.82
Nifty Low Volatility 50,2005-05-24,1280.32
Nifty Low Volatility 50,2005-05-25,1288.06
Nifty Low Volatility 50,2005-05-26,1297.87
Nifty Low Volatility 50,2005-05-27,1299.98
Nifty Low Volatility 50,2005-05-30,1295.34
Nifty Low Volatility 50,2005-05-31,1303.3
Nifty Low Volatility 50,2005-06-01,1314.25
Nifty Low Volatility 50,2005-06-02,1305.56
Nifty Low Volatility 50,2005-06-03,1313.92
Nifty Low Volatility 50,2005-06-04,1321.82
Nifty Low Volatility 50,2005-06-06,1321.44
Nifty Low Volatility 50,2005-06-07,1327.57
Nifty Low Volatility 50,2005-06-08,1332.22
Nifty Low Volatility 50,2005-06-09,1330.62
Nifty Low Volatility 50,2005-06-10,1320.98
Nifty Low Volatility 50,2005-06-13,1325.47
Nifty Low Volatility 50,2005-06-14,1327.02
Nifty Low Volatility 50,2005-06-15,1330.06
Nifty Low Volatility 50,2005-06-16,1324.85
Nifty Low Volatility 50,2005-06-17,1318.3
Nifty Low Volatility 50,2005-06-20,1321.6
Nifty Low Volatility 50,2005-06-21,1334.88
Nifty Low Volatility 50,2005-06-22,1342.21
Nifty Low Volatility 50,2005-06-23,1348.17
Nifty Low Volatility 50,2005-06-24,1354.62
Nifty Low Volatility 50,2005-06-27,1353.61
Nifty Low Volatility 50,2005-06-28,1335.84
Nifty Low Volatility 50,2005-06-29,1347.96
Nifty Low Volatility 50,2005-06-30,1357.57
Nifty Low Volatility 50,2005-07-01,1372.64
Nifty Low Volatility 50,2005-07-04,1389.85
Nifty Low Volatility 50,2005-07-05,1381.46
Nifty Low Volatility 50,2005-07-06,1396.13
Nifty Low Volatility 50,2005-07-07,1374.4
Nifty Low Volatility 50,2005-07-08,1386.76
Nifty Low Volatility 50,2005-07-11,1403.12
Nifty Low Volatility 50,2005-07-12,1409.52
Nifty Low Volatility 50,2005-07-13,1404.84
Nifty Low Volatility 50,2005-07-14,1403.84
Nifty Low Volatility 50,2005-07-15,1419.84
Nifty Low Volatility 50,2005-07-18,1437.88
Nifty Low Volatility 50,2005-07-19,1441.72
Nifty Low Volatility 50,2005-07-20,1445.6
Nifty Low Volatility 50,2005-07-21,1440.31
Nifty Low Volatility 50,2005-07-22,1458.83
Nifty Low Volatility 50,2005-07-25,1464.07
Nifty Low Volatility 50,2005-07-26,1461.84
Nifty Low Volatility 50,2005-07-27,1470.12
Nifty Low Volatility 50,2005-07-29,1455.97
Nifty Low Volatility 50,2005-08-01,1468.67
Nifty Low Volatility 50,2005-08-02,1491.61
Nifty Low Volatility 50,2005-08-03,1500.05
Nifty Low Volatility 50,2005-08-04,1510.08
Nifty Low Volatility 50,2005-08-05,1506.37
Nifty Low Volatility 50,2005-08-08,1480.35
Nifty Low Volatility 50,2005-08-09,1477.54
Nifty Low Volatility 50,2005-08-10,1508.01
Nifty Low Volatility 50,2005-08-11,1524.6
Nifty Low Volatility 50,2005-08-12,1524.98
Nifty Low Volatility 50,2005-08-16,1530.38
Nifty Low Volatility 50,2005-08-17,1540.52
Nifty Low Volatility 50,2005-08-18,1529.48
Nifty Low Volatility 50,2005-08-19,1526.07
Nifty Low Volatility 50,2005-08-22,1518.84
Nifty Low Volatility 50,2005-08-23,1490.72
Nifty Low Volatility 50,2005-08-24,1482.94
Nifty Low Volatility 50,2005-08-25,1494.72
Nifty Low Volatility 50,2005-08-26,1512.18
Nifty Low Volatility 50,2005-08-29,1497.97
Nifty Low Volatility 50,2005-08-30,1515.2
Nifty Low Volatility 50,2005-08-31,1526.28
Nifty Low Volatility 50,2005-09-01,1537.54
Nifty Low Volatility 50,2005-09-02,1554.4
Nifty Low Volatility 50,2005-09-05,1563.6
Nifty Low Volatility 50,2005-09-06,1568.44
Nifty Low Volatility 50,2005-09-08,1587.49
Nifty Low Volatility 50,2005-09-09,1588.63
Nifty Low Volatility 50,2005-09-12,1607.21
Nifty Low Volatility 50,2005-09-13,1618.03
Nifty Low Volatility 50,2005-09-14,1611.44
Nifty Low Volatility 50,2005-09-15,1630.03
Nifty Low Volatility 50,2005-09-16,1634.55
Nifty Low Volatility 50,2005-09-19,1644.62
Nifty Low Volatility 50,2005-09-20,1645.57
Nifty Low Volatility 50,2005-09-21,1629.63
Nifty Low Volatility 50,2005-09-22,1571.63
Nifty Low Volatility 50,2005-09-23,1577.18
Nifty Low Volatility 50,2005-09-26,1625.16
Nifty Low Volatility 50,2005-09-27,1630.35
Nifty Low Volatility 50,2005-09-28,1638.35
Nifty Low Volatility 50,2005-09-29,1640.55
Nifty Low Volatility 50,2005-09-30,1644.39
Nifty Low Volatility 50,2005-10-03,1667.8
Nifty Low Volatility 50,2005-10-04,1684.41
Nifty Low Volatility 50,2005-10-05,1674.62
Nifty Low Volatility 50,2005-10-06,1649.28
Nifty Low Volatility 50,2005-10-07,1641.95
Nifty Low Volatility 50,2005-10-10,1634.44
Nifty Low Volatility 50,2005-10-11,1637.96
Nifty Low Volatility 50,2005-10-13,1615.8
Nifty Low Volatility 50,2005-10-14,1580.91
Nifty Low Volatility 50,2005-10-17,1578.69
Nifty Low Volatility 50,2005-10-18,1570.67
Nifty Low Volatility 50,2005-10-19,1539.39
Nifty Low Volatility 50,2005-10-20,1526.81
Nifty Low Volatility 50,2005-10-21,1550.21
Nifty Low Volatility 50,2005-10-24,1531.95
Nifty Low Volatility 50,2005-10-25,1539.6
Nifty Low Volatility 50,2005-10-26,1537.89
Nifty Low Volatility 50,2005-10-27,1502.91
Nifty Low Volatility 50,2005-10-28,1487.46
Nifty Low Volatility 50,2005-10-31,1514.22
Nifty Low Volatility 50,2005-11-01,1525.42
Nifty Low Volatility 50,2005-11-02,1547.25
Nifty Low Volatility 50,2005-11-07,1574.21
Nifty Low Volatility 50,2005-11-08,1596.12
Nifty Low Volatility 50,2005-11-09,1595.46
Nifty Low Volatility 50,2005-11-10,1606.44
Nifty Low Volatility 50,2005-11-11,1638.6
Nifty Low Volatility 50,2005-11-14,1639.52
Nifty Low Volatility 50,2005-11-16,1653.09
Nifty Low Volatility 50,2005-11-17,1662.28
Nifty Low Volatility 50,2005-11-18,1675.45
Nifty Low Volatility 50,2005-11-21,1672.03
Nifty Low Volatility 50,2005-11-22,1665.41
Nifty Low Volatility 50,2005-11-23,1681.66
Nifty Low Volatility 50,2005-11-24,1695.31
Nifty Low Volatility 50,2005-11-25,1724.93
Nifty Low Volatility 50,2005-11-26,1743.74
Nifty Low Volatility 50,2005-11-28,1766.47
Nifty Low Volatility 50,2005-11-29,1759.63
Nifty Low Volatility 50,2005-11-30,1734.72
Nifty Low Volatility 50,2005-12-01,1767.2
Nifty Low Volatility 50,2005-12-02,1771.28
Nifty Low Volatility 50,2005-12-05,1754.01
Nifty Low Volatility 50,2005-12-06,1748.22
Nifty Low Volatility 50,2005-12-07,1760.39
Nifty Low Volatility 50,2005-12-08,1770.6
Nifty Low Volatility 50,2005-12-09,1790.02
Nifty Low Volatility 50,2005-12-12,1796.19
Nifty Low Volatility 50,2005-12-13,1813.33
Nifty Low Volatility 50,2005-12-14,1812.68
Nifty Low Volatility 50,2005-12-15,1792.13
Nifty Low Volatility 50,2005-12-16,1811.07
Nifty Low Volatility 50,2005-12-19,1831.18
Nifty Low Volatility 50,2005-12-20,1821.1
Nifty Low Volatility 50,2005-12-21,1821.22
Nifty Low Volatility 50,2005-12-22,1826.51
Nifty Low Volatility 50,2005-12-23,1805.88
Nifty Low Volatility 50,2005-12-26,1768.23
Nifty Low Volatility 50,2005-12-27,1804.87
Nifty Low Volatility 50,2005-12-28,1802.19
Nifty Low Volatility 50,2005-12-29,1808.92
Nifty Low Volatility 50,2005-12-30,1828.25
Nifty Low Volatility 50,2006-01-02,1835.7
Nifty Low Volatility 50,2006-01-03,1862.62
Nifty Low Volatility 50,2006-01-04,1882.8
Nifty Low Volatility 50,2006-01-05,1884.98
Nifty Low Volatility 50,2006-01-06,1894.41
Nifty Low Volatility 50,2006-01-09,1901.81
Nifty Low Volatility 50,2006-01-10,1878.45
Nifty Low Volatility 50,2006-01-12,1871.95
Nifty Low Volatility 50,2006-01-13,1876.83
Nifty Low Volatility 50,2006-01-16,1871.69
Nifty Low Volatility 50,2006-01-17,1853.01
Nifty Low Volatility 50,2006-01-18,1849.83
Nifty Low Volatility 50,2006-01-19,1878.24
Nifty Low Volatility 50,2006-01-20,1896.43
Nifty Low Volatility 50,2006-01-23,1891.51
Nifty Low Volatility 50,2006-01-24,1909.06
Nifty Low Volatility 50,2006-01-25,1930.81
Nifty Low Volatility 50,2006-01-27,1963.74
Nifty Low Volatility 50,2006-01-30,1952.54
Nifty Low Volatility 50,2006-01-31,1968.72
Nifty Low Volatility 50,2006-02-01,1961.77
Nifty Low Volatility 50,2006-02-02,1969.01
Nifty Low Volatility 50,2006-02-03,1971.01
Nifty Low Volatility 50,2006-02-06,2001.85
Nifty Low Volatility 50,2006-02-07,2024.42
Nifty Low Volatility 50,2006-02-08,2027.62
Nifty Low Volatility 50,2006-02-10,2045.01
Nifty Low Volatility 50,2006-02-13,2062.06
Nifty Low Volatility 50,2006-02-14,2048.56
Nifty Low Volatility 50,2006-02-15,2057.65
Nifty Low Volatility 50,2006-02-16,2068.44
Nifty Low Volatility 50,2006-02-17,2035.43
Nifty Low Volatility 50,2006-02-20,2040.39
Nifty Low Volatility 50,2006-02-21,2060.17
Nifty Low Volatility 50,2006-02-22,2075.99
Nifty Low Volatility 50,2006-02-23,2069.78
Nifty Low Volatility 50,2006-02-24,2073.61
Nifty Low Volatility 50,2006-02-27,2085.98
Nifty Low Volatility 50,2006-02-28,2089.84
Nifty Low Volatility 50,2006-03-01,2135.97
Nifty Low Volatility 50,2006-03-02,2141.51
Nifty Low Volatility 50,2006-03-03,2148.35
Nifty Low Volatility 50,2006-03-06,2182.49
Nifty Low Volatility 50,2006-03-07,2196.93
Nifty Low Volatility 50,2006-03-08,2158.06
Nifty Low Volatility 50,2006-03-09,2172.21
Nifty Low Volatility 50,2006-03-10,2210.52
Nifty Low Volatility 50,2006-03-13,2215.42
Nifty Low Volatility 50,2006-03-14,2209.8
Nifty Low Volatility 50,2006-03-16,2230.73
Nifty Low Volatility 50,2006-03-17,2232.0
Nifty Low Volatility 50,2006-03-20,2246.36
Nifty Low Volatility 50,2006-03-21,2237.03
Nifty Low Volatility 50,2006-03-22,2232.33
Nifty Low Volatility 50,2006-03-23,2237.05
Nifty Low Volatility 50,2006-03-24,2254.33
Nifty Low Volatility 50,2006-03-27,2266.39
Nifty Low Volatility 50,2006-03-28,2254.92
Nifty Low Volatility 50,2006-03-29,2268.87
Nifty Low Volatility 50,2006-03-30,2286.6
Nifty Low Volatility 50,2006-03-31,2297.29
Nifty Low Volatility 50,2006-04-03,2352.59
Nifty Low Volatility 50,2006-04-04,2365.9
Nifty Low Volatility 50,2006-04-05,2405.04
Nifty Low Volatility 50,2006-04-07,2365.03
Nifty Low Volatility 50,2006-04-10,2379.17
Nifty Low Volatility 50,2006-04-12,2319.71
Nifty Low Volatility 50,2006-04-13,2279.36
Nifty Low Volatility 50,2006-04-17,2333.9
Nifty Low Volatility 50,2006-04-18,2374.03
Nifty Low Volatility 50,2006-04-19,2376.4
Nifty Low Volatility 50,2006-04-20,2386.48
Nifty Low Volatility 50,2006-04-21,2383.59
Nifty Low Volatility 50,2006-04-24,2364.33
Nifty Low Volatility 50,2006-04-25,2319.98
Nifty Low Volatility 50,2006-04-26,2363.83
Nifty Low Volatility 50,2006-04-27,2337.77
Nifty Low Volatility 50,2006-04-28,2351.68
Nifty Low Volatility 50,2006-04-29,2386.91
Nifty Low Volatility 50,2006-05-02,2426.56
Nifty Low Volatility 50,2006-05-03,2444.79
Nifty Low Volatility 50,2006-05-04,2446.09
Nifty Low Volatility 50,2006-05-05,2450.45
Nifty Low Volatility 50,2006-05-08,2463.74
Nifty Low Volatility 50,2006-05-09,2473.52
Nifty Low Volatility 50,2006-05-10,2480.52
Nifty Low Volatility 50,2006-05-11,2449.78
Nifty Low Volatility 50,2006-05-12,2418.45
Nifty Low Volatility 50,2006-05-15,2316.68
Nifty Low Volatility 50,2006-05-16,2329.93
Nifty Low Volatility 50,2006-05-17,2376.62
Nifty Low Volatility 50,2006-05-18,2219.68
Nifty Low Volatility 50,2006-05-19,2115.3
Nifty Low Volatility 50,2006-05-22,2016.59
Nifty Low Volatility 50,2006-05-23,2093.88
Nifty Low Volatility 50,2006-05-24,2061.53
Nifty Low Volatility 50,2006-05-25,2071.09
Nifty Low Volatility 50,2006-05-26,2106.61
Nifty Low Volatility 50,2006-05-29,2117.62
Nifty Low Volatility 50,2006-05-30,2101.81
Nifty Low Volatility 50,2006-05-31,2042.13
Nifty Low Volatility 50,2006-06-01,1975.29
Nifty Low Volatility 50,2006-06-02,2035.44
Nifty Low Volatility 50,2006-06-05,1981.2
Nifty Low Volatility 50,2006-06-06,1922.6
Nifty Low Volatility 50,2006-06-07,1855.68
Nifty Low Volatility 50,2006-06-08,1754.9
Nifty Low Volatility 50,2006-06-09,1862.52
Nifty Low Volatility 50,2006-06-12,1807.78
Nifty Low Volatility 50,2006-06-13,1733.84
Nifty Low Volatility 50,2006-06-14,1710.16
Nifty Low Volatility 50,2006-06-15,1823.72
Nifty Low Volatility 50,2006-06-16,1878.83
Nifty Low Volatility 50,2006-06-19,1903.95
Nifty Low Volatility 50,2006-06-20,1877.36
Nifty Low Volatility 50,2006-06-21,1912.09
Nifty Low Volatility 50,2006-06-22,1949.94
Nifty Low Volatility 50,2006-06-23,1967.89
Nifty Low Volatility 50,2006-06-25,1970.84
Nifty Low Volatility 50,2006-06-26,1906.61
Nifty Low Volatility 50,2006-06-27,1920.35
Nifty Low Volatility 50,2006-06-28,1919.86
Nifty Low Volatility 50,2006-06-29,1925.14
Nifty Low Volatility 50,2006-06-30,1992.11
Nifty Low Volatility 50,2006-07-03,2002.55
Nifty Low Volatility 50,2006-07-04,1998.89
Nifty Low Volatility 50,2006-07-05,2034.14
Nifty Low Volatility 50,2006-07-06,2015.07
Nifty Low Volatility 50,2006-07-07,1968.47
Nifty Low Volatility 50,2006-07-10,1998.79
Nifty Low Volatility 50,2006-07-11,1991.07
Nifty Low Volatility 50,2006-07-12,2016.93
Nifty Low Volatility 50,2006-07-13,2010.87
Nifty Low Volatility 50,2006-07-14,1985.1
Nifty Low Volatility 50,2006-07-17,1919.91
Nifty Low Volatility 50,2006-07-18,1906.45
Nifty Low Volatility 50,2006-07-19,1857.09
Nifty Low Volatility 50,2006-07-20,1913.99
Nifty Low Volatility 50,2006-07-21,1874.57
Nifty Low Volatility 50,2006-07-24,1889.47
Nifty Low Volatility 50,2006-07-25,1933.81
Nifty Low Volatility 50,2006-07-26,1976.95
Nifty Low Volatility 50,2006-07-27,1999.31
Nifty Low Volatility 50,2006-07-28,1998.57
Nifty Low Volatility 50,2006-07-31,2007.77
Nifty Low Volatility 50,2006-08-01,1997.02
Nifty Low Volatility 50,2006-08-02,2026.13
Nifty Low Volatility 50,2006-08-03,2030.12
Nifty Low Volatility 50,2006-08-04,2019.92
Nifty Low Volatility 50,2006-08-07,2013.02
Nifty Low Volatility 50,2006-08-08,2042.11
Nifty Low Volatility 50,2006-08-09,2068.96
Nifty Low Volatility 50,2006-08-10,2080.23
Nifty Low Volatility 50,2006-08-11,2094.16
Nifty Low Volatility 50,2006-08-14,2130.29
Nifty Low Volatility 50,2006-08-16,2162.02
Nifty Low Volatility 50,2006-08-17,2155.47
Nifty Low Volatility 50,2006-08-18,2170.89
Nifty Low Volatility 50,2006-08-21,2187.35
Nifty Low Volatility 50,2006-08-22,2182.62
Nifty Low Volatility 50,2006-08-23,2161.35
Nifty Low Volatility 50,2006-08-24,2181.32
Nifty Low Volatility 50,2006-08-25,2192.23
Nifty Low Volatility 50,2006-08-28,2201.89
Nifty Low Volatility 50,2006-08-29,2210.37
Nifty Low Volatility 50,2006-08-30,2215.55
Nifty Low Volatility 50,2006-08-31,2205.53
Nifty Low Volatility 50,2006-09-01,2230.77
Nifty Low Volatility 50,2006-09-04,2255.15
Nifty Low Volatility 50,2006-09-05,2259.17
Nifty Low Volatility 50,2006-09-06,2267.2
Nifty Low Volatility 50,2006-09-07,2251.11
Nifty Low Volatility 50,2006-09-08,2271.25
Nifty Low Volatility 50,2006-09-11,2197.04
Nifty Low Volatility 50,2006-09-12,2215.46
Nifty Low Volatility 50,2006-09-13,2258.76
Nifty Low Volatility 50,2006-09-14,2270.66
Nifty Low Volatility 50,2006-09-15,2276.48
Nifty Low Volatility 50,2006-09-18,2287.64
Nifty Low Volatility 50,2006-09-19,2262.34
Nifty Low Volatility 50,2006-09-20,2277.9
Nifty Low Volatility 50,2006-09-21,2308.55
Nifty Low Volatility 50,2006-09-22,2301.58
Nifty Low Volatility 50,2006-09-25,2292.12
Nifty Low Volatility 50,2006-09-26,2308.91
Nifty Low Volatility 50,2006-09-27,2317.28
Nifty Low Volatility 50,2006-09-28,2324.47
Nifty Low Volatility 50,2006-09-29,2342.13
Nifty Low Volatility 50,2006-10-03,2338.42
Nifty Low Volatility 50,2006-10-04,2317.17
Nifty Low Volatility 50,2006-10-05,2344.0
Nifty Low Volatility 50,2006-10-06,2348.39
Nifty Low Volatility 50,2006-10-09,2347.64
Nifty Low Volatility 50,2006-10-10,2345.44
Nifty Low Volatility 50,2006-10-11,2332.06
Nifty Low Volatility 50,2006-10-12,2363.81
Nifty Low Volatility 50,2006-10-13,2373.6
Nifty Low Volatility 50,2006-10-16,2392.03
Nifty Low Volatility 50,2006-10-17,2378.92
Nifty Low Volatility 50,2006-10-18,2376.11
Nifty Low Volatility 50,2006-10-19,2360.0
Nifty Low Volatility 50,2006-10-20,2359.4
Nifty Low Volatility 50,2006-10-21,2372.14
Nifty Low Volatility 50,2006-10-23,2360.64
Nifty Low Volatility 50,2006-10-26,2371.71
Nifty Low Volatility 50,2006-10-27,2399.94
Nifty Low Volatility 50,2006-10-30,2414.07
Nifty Low Volatility 50,2006-10-31,2410.85
Nifty Low Volatility 50,2006-11-01,2424.19
Nifty Low Volatility 50,2006-11-02,2433.99
Nifty Low Volatility 50,2006-11-03,2435.82
Nifty Low Volatility 50,2006-11-06,2442.47
Nifty Low Volatility 50,2006-11-07,2431.99
Nifty Low Volatility 50,2006-11-08,2411.98
Nifty Low Volatility 50,2006-11-09,2420.04
Nifty Low Volatility 50,2006-11-10,2436.46
Nifty Low Volatility 50,2006-11-13,2450.7
Nifty Low Volatility 50,2006-11-14,2456.3
Nifty Low Volatility 50,2006-11-15,2460.68
Nifty Low Volatility 50,2006-11-16,2459.69
Nifty Low Volatility 50,2006-11-17,2442.54
Nifty Low Volatility 50,2006-11-20,2422.47
Nifty Low Volatility 50,2006-11-21,2454.62
Nifty Low Volatility 50,2006-11-22,2464.41
Nifty Low Volatility 50,2006-11-23,2473.94
Nifty Low Volatility 50,2006-11-24,2486.89
Nifty Low Volatility 50,2006-11-27,2492.67
Nifty Low Volatility 50,2006-11-28,2468.48
Nifty Low Volatility 50,2006-11-29,2473.83
Nifty Low Volatility 50,2006-11-30,2466.43
Nifty Low Volatility 50,2006-12-01,2503.69
Nifty Low Volatility 50,2006-12-04,2514.85
Nifty Low Volatility 50,2006-12-05,2515.94
Nifty Low Volatility 50,2006-12-06,2503.37
Nifty Low Volatility 50,2006-12-07,2509.45
Nifty Low Volatility 50,2006-12-08,2496.1
Nifty Low Volatility 50,2006-12-11,2427.13
Nifty Low Volatility 50,2006-12-12,2340.91
Nifty Low Volatility 50,2006-12-13,2377.32
Nifty Low Volatility 50,2006-12-14,2428.47
Nifty Low Volatility 50,2006-12-15,2448.01
Nifty Low Volatility 50,2006-12-18,2459.26
Nifty Low Volatility 50,2006-12-19,2409.37
Nifty Low Volatility 50,2006-12-20,2394.48
Nifty Low Volatility 50,2006-12-21,2392.92
Nifty Low Volatility 50,2006-12-22,2409.98
Nifty Low Volatility 50,2006-12-26,2448.13
Nifty Low Volatility 50,2006-12-27,2482.32
Nifty Low Volatility 50,2006-12-28,2483.64
Nifty Low Volatility 50,2006-12-29,2488.1
Nifty Low Volatility 50,2007-01-02,2511.86
Nifty Low Volatility 50,2007-01-03,2519.94
Nifty Low Volatility 50,2007-01-04,2514.09
Nifty Low Volatility 50,2007-01-05,2508.12
Nifty Low Volatility 50,2007-01-08,2482.87
Nifty Low Volatility 50,2007-01-09,2467.67
Nifty Low Volatility 50,2007-01-10,2430.62
Nifty Low Volatility 50,2007-01-11,2472.65
Nifty Low Volatility 50,2007-01-12,2531.5
Nifty Low Volatility 50,2007-01-15,2537.71
Nifty Low Volatility 50,2007-01-16,2531.87
Nifty Low Volatility 50,2007-01-17,2548.27
Nifty Low Volatility 50,2007-01-18,2567.17
Nifty Low Volatility 50,2007-01-19,2554.46
Nifty Low Volatility 50,2007-01-22,2555.73
Nifty Low Volatility 50,2007-01-23,2529.15
Nifty Low Volatility 50,2007-01-24,2526.58
Nifty Low Volatility 50,2007-01-25,2547.49
Nifty Low Volatility 50,2007-01-29,2541.41
Nifty Low Volatility 50,2007-01-31,2528.6
Nifty Low Volatility 50,2007-02-01,2548.4
Nifty Low Volatility 50,2007-02-02,2567.98
Nifty Low Volatility 50,2007-02-05,2581.34
Nifty Low Volatility 50,2007-02-06,2585.95
Nifty Low Volatility 50,2007-02-07,2613.09
Nifty Low Volatility 50,2007-02-08,2618.37
Nifty Low Volatility 50,2007-02-09,2588.71
Nifty Low Volatility 50,2007-02-12,2513.79
Nifty Low Volatility 50,2007-02-13,2505.14
Nifty Low Volatility 50,2007-02-14,2494.15
Nifty Low Volatility 50,2007-02-15,2541.78
Nifty Low Volatility 50,2007-02-19,2543.87
Nifty Low Volatility 50,2007-02-20,2529.57
Nifty Low Volatility 50,2007-02-21,2517.68
Nifty Low Volatility 50,2007-02-22,2473.61
