IndexName,Date,Total Returns Index
Nifty Midcap150 Momentum 50,2005-04-01,1000.0
Nifty Midcap150 Momentum 50,2005-04-04,1015.88
Nifty Midcap150 Momentum 50,2005-04-05,1012.58
Nifty Midcap150 Momentum 50,2005-04-06,1026.82
Nifty Midcap150 Momentum 50,2005-04-07,1021.33
Nifty Midcap150 Momentum 50,2005-04-08,1013.41
Nifty Midcap150 Momentum 50,2005-04-11,1001.53
Nifty Midcap150 Momentum 50,2005-04-12,1008.69
Nifty Midcap150 Momentum 50,2005-04-13,1011.48
Nifty Midcap150 Momentum 50,2005-04-15,986.57
Nifty Midcap150 Momentum 50,2005-04-18,973.49
Nifty Midcap150 Momentum 50,2005-04-19,976.69
Nifty Midcap150 Momentum 50,2005-04-20,987.41
Nifty Midcap150 Momentum 50,2005-04-21,1004.93
Nifty Midcap150 Momentum 50,2005-04-22,1025.2
Nifty Midcap150 Momentum 50,2005-04-25,1029.05
Nifty Midcap150 Momentum 50,2005-04-26,1024.65
Nifty Midcap150 Momentum 50,2005-04-27,1011.04
Nifty Midcap150 Momentum 50,2005-04-28,1007.53
Nifty Midcap150 Momentum 50,2005-04-29,992.51
Nifty Midcap150 Momentum 50,2005-05-02,982.76
Nifty Midcap150 Momentum 50,2005-05-03,986.53
Nifty Midcap150 Momentum 50,2005-05-04,996.45
Nifty Midcap150 Momentum 50,2005-05-05,1003.2
Nifty Midcap150 Momentum 50,2005-05-06,1006.41
Nifty Midcap150 Momentum 50,2005-05-09,1021.77
Nifty Midcap150 Momentum 50,2005-05-10,1017.52
Nifty Midcap150 Momentum 50,2005-05-11,1020.46
Nifty Midcap150 Momentum 50,2005-05-12,1030.52
Nifty Midcap150 Momentum 50,2005-05-13,1037.29
Nifty Midcap150 Momentum 50,2005-05-16,1049.81
Nifty Midcap150 Momentum 50,2005-05-17,1040.18
Nifty Midcap150 Momentum 50,2005-05-18,1047.66
Nifty Midcap150 Momentum 50,2005-05-19,1052.91
Nifty Midcap150 Momentum 50,2005-05-20,1045.96
Nifty Midcap150 Momentum 50,2005-05-23,1053.66
Nifty Midcap150 Momentum 50,2005-05-24,1059.23
Nifty Midcap150 Momentum 50,2005-05-25,1062.9
Nifty Midcap150 Momentum 50,2005-05-26,1061.94
Nifty Midcap150 Momentum 50,2005-05-27,1056.25
Nifty Midcap150 Momentum 50,2005-05-30,1048.74
Nifty Midcap150 Momentum 50,2005-05-31,1054.16
Nifty Midcap150 Momentum 50,2005-06-01,1060.36
Nifty Midcap150 Momentum 50,2005-06-02,1051.9
Nifty Midcap150 Momentum 50,2005-06-03,1057.53
Nifty Midcap150 Momentum 50,2005-06-04,1057.85
Nifty Midcap150 Momentum 50,2005-06-06,1059.09
Nifty Midcap150 Momentum 50,2005-06-07,1059.63
Nifty Midcap150 Momentum 50,2005-06-08,1058.75
Nifty Midcap150 Momentum 50,2005-06-09,1063.77
Nifty Midcap150 Momentum 50,2005-06-10,1060.96
Nifty Midcap150 Momentum 50,2005-06-13,1059.8
Nifty Midcap150 Momentum 50,2005-06-14,1063.49
Nifty Midcap150 Momentum 50,2005-06-15,1068.96
Nifty Midcap150 Momentum 50,2005-06-16,1054.64
Nifty Midcap150 Momentum 50,2005-06-17,1037.87
Nifty Midcap150 Momentum 50,2005-06-20,1029.93
Nifty Midcap150 Momentum 50,2005-06-21,1033.07
Nifty Midcap150 Momentum 50,2005-06-22,1033.17
Nifty Midcap150 Momentum 50,2005-06-23,1038.07
Nifty Midcap150 Momentum 50,2005-06-24,1048.99
Nifty Midcap150 Momentum 50,2005-06-27,1044.79
Nifty Midcap150 Momentum 50,2005-06-28,1026.56
Nifty Midcap150 Momentum 50,2005-06-29,1036.85
Nifty Midcap150 Momentum 50,2005-06-30,1037.11
Nifty Midcap150 Momentum 50,2005-07-01,1051.91
Nifty Midcap150 Momentum 50,2005-07-04,1070.14
Nifty Midcap150 Momentum 50,2005-07-05,1069.68
Nifty Midcap150 Momentum 50,2005-07-06,1089.45
Nifty Midcap150 Momentum 50,2005-07-07,1075.95
Nifty Midcap150 Momentum 50,2005-07-08,1093.4
Nifty Midcap150 Momentum 50,2005-07-11,1108.25
Nifty Midcap150 Momentum 50,2005-07-12,1108.39
Nifty Midcap150 Momentum 50,2005-07-13,1117.96
Nifty Midcap150 Momentum 50,2005-07-14,1122.04
Nifty Midcap150 Momentum 50,2005-07-15,1133.03
Nifty Midcap150 Momentum 50,2005-07-18,1159.75
Nifty Midcap150 Momentum 50,2005-07-19,1173.91
Nifty Midcap150 Momentum 50,2005-07-20,1171.77
Nifty Midcap150 Momentum 50,2005-07-21,1170.87
Nifty Midcap150 Momentum 50,2005-07-22,1183.92
Nifty Midcap150 Momentum 50,2005-07-25,1188.15
Nifty Midcap150 Momentum 50,2005-07-26,1185.66
Nifty Midcap150 Momentum 50,2005-07-27,1189.94
Nifty Midcap150 Momentum 50,2005-07-29,1186.87
Nifty Midcap150 Momentum 50,2005-08-01,1199.12
Nifty Midcap150 Momentum 50,2005-08-02,1226.68
Nifty Midcap150 Momentum 50,2005-08-03,1229.91
Nifty Midcap150 Momentum 50,2005-08-04,1234.56
Nifty Midcap150 Momentum 50,2005-08-05,1249.13
Nifty Midcap150 Momentum 50,2005-08-08,1238.86
Nifty Midcap150 Momentum 50,2005-08-09,1232.11
Nifty Midcap150 Momentum 50,2005-08-10,1263.63
Nifty Midcap150 Momentum 50,2005-08-11,1290.4
Nifty Midcap150 Momentum 50,2005-08-12,1295.11
