IndexName,Date,Total Returns Index
NIFTY Midcap150 Quality 50,2005-04-01,1000.0
NIFTY Midcap150 Quality 50,2005-04-04,1012.17
NIFTY Midcap150 Quality 50,2005-04-05,1007.65
NIFTY Midcap150 Quality 50,2005-04-06,1011.31
NIFTY Midcap150 Quality 50,2005-04-07,1007.72
NIFTY Midcap150 Quality 50,2005-04-08,1002.9
NIFTY Midcap150 Quality 50,2005-04-11,997.47
NIFTY Midcap150 Quality 50,2005-04-12,999.45
NIFTY Midcap150 Quality 50,2005-04-13,1001.15
NIFTY Midcap150 Quality 50,2005-04-15,980.34
NIFTY Midcap150 Quality 50,2005-04-18,973.15
NIFTY Midcap150 Quality 50,2005-04-19,967.85
NIFTY Midcap150 Quality 50,2005-04-20,972.85
NIFTY Midcap150 Quality 50,2005-04-21,985.44
NIFTY Midcap150 Quality 50,2005-04-22,995.85
NIFTY Midcap150 Quality 50,2005-04-25,999.82
NIFTY Midcap150 Quality 50,2005-04-26,999.24
NIFTY Midcap150 Quality 50,2005-04-27,992.54
NIFTY Midcap150 Quality 50,2005-04-28,991.3
NIFTY Midcap150 Quality 50,2005-04-29,979.78
NIFTY Midcap150 Quality 50,2005-05-02,975.68
NIFTY Midcap150 Quality 50,2005-05-03,979.16
NIFTY Midcap150 Quality 50,2005-05-04,984.54
NIFTY Midcap150 Quality 50,2005-05-05,993.33
NIFTY Midcap150 Quality 50,2005-05-06,1000.98
NIFTY Midcap150 Quality 50,2005-05-09,1017.92
NIFTY Midcap150 Quality 50,2005-05-10,1018.33
NIFTY Midcap150 Quality 50,2005-05-11,1024.47
NIFTY Midcap150 Quality 50,2005-05-12,1035.88
NIFTY Midcap150 Quality 50,2005-05-13,1039.85
NIFTY Midcap150 Quality 50,2005-05-16,1051.18
NIFTY Midcap150 Quality 50,2005-05-17,1040.0
NIFTY Midcap150 Quality 50,2005-05-18,1042.25
NIFTY Midcap150 Quality 50,2005-05-19,1052.72
NIFTY Midcap150 Quality 50,2005-05-20,1053.74
NIFTY Midcap150 Quality 50,2005-05-23,1055.6
NIFTY Midcap150 Quality 50,2005-05-24,1057.64
NIFTY Midcap150 Quality 50,2005-05-25,1064.57
NIFTY Midcap150 Quality 50,2005-05-26,1064.75
NIFTY Midcap150 Quality 50,2005-05-27,1059.87
NIFTY Midcap150 Quality 50,2005-05-30,1057.34
NIFTY Midcap150 Quality 50,2005-05-31,1065.51
NIFTY Midcap150 Quality 50,2005-06-01,1072.32
NIFTY Midcap150 Quality 50,2005-06-02,1068.45
NIFTY Midcap150 Quality 50,2005-06-03,1072.94
NIFTY Midcap150 Quality 50,2005-06-04,1074.76
