IndexName,Date,Total Returns Index
Nifty Midcap 50,2005-04-01,1355.71
Nifty Midcap 50,2005-04-04,1376.25
Nifty Midcap 50,2005-04-05,1355.15
Nifty Midcap 50,2005-04-06,1358.44
Nifty Midcap 50,2005-04-07,1357.3
Nifty Midcap 50,2005-04-08,1342.63
Nifty Midcap 50,2005-04-11,1320.86
Nifty Midcap 50,2005-04-12,1335.84
Nifty Midcap 50,2005-04-13,1337.65
Nifty Midcap 50,2005-04-15,1299.61
Nifty Midcap 50,2005-04-18,1286.8
Nifty Midcap 50,2005-04-19,1281.38
Nifty Midcap 50,2005-04-20,1297.57
Nifty Midcap 50,2005-04-21,1327.18
Nifty Midcap 50,2005-04-22,1335.02
Nifty Midcap 50,2005-04-25,1340.92
Nifty Midcap 50,2005-04-26,1345.78
Nifty Midcap 50,2005-04-27,1332.07
Nifty Midcap 50,2005-04-28,1319.59
Nifty Midcap 50,2005-04-29,1298.17
Nifty Midcap 50,2005-05-02,1296.92
Nifty Midcap 50,2005-05-03,1299.72
Nifty Midcap 50,2005-05-04,1316.9
Nifty Midcap 50,2005-05-05,1344.2
Nifty Midcap 50,2005-05-06,1352.33
Nifty Midcap 50,2005-05-09,1363.97
Nifty Midcap 50,2005-05-10,1362.89
Nifty Midcap 50,2005-05-11,1361.26
Nifty Midcap 50,2005-05-12,1367.22
Nifty Midcap 50,2005-05-13,1370.59
Nifty Midcap 50,2005-05-16,1385.13
Nifty Midcap 50,2005-05-17,1371.09
Nifty Midcap 50,2005-05-18,1367.4
Nifty Midcap 50,2005-05-19,1376.95
Nifty Midcap 50,2005-05-20,1373.3
Nifty Midcap 50,2005-05-23,1385.49
Nifty Midcap 50,2005-05-24,1393.22
Nifty Midcap 50,2005-05-25,1398.87
Nifty Midcap 50,2005-05-26,1392.73
Nifty Midcap 50,2005-05-27,1391.53
Nifty Midcap 50,2005-05-30,1379.46
Nifty Midcap 50,2005-05-31,1393.49
Nifty Midcap 50,2005-06-01,1401.31
Nifty Midcap 50,2005-06-02,1400.31
Nifty Midcap 50,2005-06-03,1419.43
Nifty Midcap 50,2005-06-04,1429.51
Nifty Midcap 50,2005-06-06,1437.49
Nifty Midcap 50,2005-06-07,1445.87
Nifty Midcap 50,2005-06-08,1456.68
Nifty Midcap 50,2005-06-09,1454.16
Nifty Midcap 50,2005-06-10,1442.47
Nifty Midcap 50,2005-06-13,1455.36
Nifty Midcap 50,2005-06-14,1453.71
Nifty Midcap 50,2005-06-15,1458.24
Nifty Midcap 50,2005-06-16,1436.77
Nifty Midcap 50,2005-06-17,1418.11
Nifty Midcap 50,2005-06-20,1402.75
Nifty Midcap 50,2005-06-21,1413.57
Nifty Midcap 50,2005-06-22,1417.35
Nifty Midcap 50,2005-06-23,1426.57
Nifty Midcap 50,2005-06-24,1438.41
Nifty Midcap 50,2005-06-27,1433.21
Nifty Midcap 50,2005-06-28,1409.33
Nifty Midcap 50,2005-06-29,1419.31
Nifty Midcap 50,2005-06-30,1414.09
Nifty Midcap 50,2005-07-01,1448.78
Nifty Midcap 50,2005-07-04,1485.69
Nifty Midcap 50,2005-07-05,1476.17
Nifty Midcap 50,2005-07-06,1501.75
Nifty Midcap 50,2005-07-07,1479.39
Nifty Midcap 50,2005-07-08,1518.43
Nifty Midcap 50,2005-07-11,1536.97
Nifty Midcap 50,2005-07-12,1543.41
Nifty Midcap 50,2005-07-13,1552.15
Nifty Midcap 50,2005-07-14,1546.34
Nifty Midcap 50,2005-07-15,1563.62
Nifty Midcap 50,2005-07-18,1590.58
Nifty Midcap 50,2005-07-19,1601.37
Nifty Midcap 50,2005-07-20,1618.05
Nifty Midcap 50,2005-07-21,1599.89
Nifty Midcap 50,2005-07-22,1619.99
Nifty Midcap 50,2005-07-25,1635.27
Nifty Midcap 50,2005-07-26,1634.29
Nifty Midcap 50,2005-07-27,1637.25
Nifty Midcap 50,2005-07-29,1617.42
Nifty Midcap 50,2005-08-01,1627.98
Nifty Midcap 50,2005-08-02,1657.79
Nifty Midcap 50,2005-08-03,1657.37
Nifty Midcap 50,2005-08-04,1662.73
Nifty Midcap 50,2005-08-05,1677.65
Nifty Midcap 50,2005-08-08,1642.87
Nifty Midcap 50,2005-08-09,1638.84
Nifty Midcap 50,2005-08-10,1676.63
Nifty Midcap 50,2005-08-11,1689.12
Nifty Midcap 50,2005-08-12,1686.0
Nifty Midcap 50,2005-08-16,1692.35
Nifty Midcap 50,2005-08-17,1709.44
Nifty Midcap 50,2005-08-18,1701.02
Nifty Midcap 50,2005-08-19,1703.52
Nifty Midcap 50,2005-08-22,1686.56
Nifty Midcap 50,2005-08-23,1646.32
Nifty Midcap 50,2005-08-24,1621.61
Nifty Midcap 50,2005-08-25,1632.06
Nifty Midcap 50,2005-08-26,1679.15
Nifty Midcap 50,2005-08-29,1666.73
Nifty Midcap 50,2005-08-30,1690.02
Nifty Midcap 50,2005-08-31,1714.43
Nifty Midcap 50,2005-09-01,1728.61
Nifty Midcap 50,2005-09-02,1737.75
Nifty Midcap 50,2005-09-05,1737.28
Nifty Midcap 50,2005-09-06,1729.17
Nifty Midcap 50,2005-09-08,1742.81
Nifty Midcap 50,2005-09-09,1747.77
Nifty Midcap 50,2005-09-12,1769.87
Nifty Midcap 50,2005-09-13,1789.57
Nifty Midcap 50,2005-09-14,1773.36
Nifty Midcap 50,2005-09-15,1791.85
Nifty Midcap 50,2005-09-16,1799.71
Nifty Midcap 50,2005-09-19,1828.12
Nifty Midcap 50,2005-09-20,1821.16
Nifty Midcap 50,2005-09-21,1780.69
Nifty Midcap 50,2005-09-22,1684.74
Nifty Midcap 50,2005-09-23,1706.65
Nifty Midcap 50,2005-09-26,1760.58
Nifty Midcap 50,2005-09-27,1775.14
Nifty Midcap 50,2005-09-28,1795.27
Nifty Midcap 50,2005-09-29,1783.29
Nifty Midcap 50,2005-09-30,1784.09
Nifty Midcap 50,2005-10-03,1805.72
Nifty Midcap 50,2005-10-04,1831.02
Nifty Midcap 50,2005-10-05,1816.94
Nifty Midcap 50,2005-10-06,1789.91
Nifty Midcap 50,2005-10-07,1779.36
Nifty Midcap 50,2005-10-10,1766.91
Nifty Midcap 50,2005-10-11,1768.88
Nifty Midcap 50,2005-10-13,1751.16
Nifty Midcap 50,2005-10-14,1708.54
Nifty Midcap 50,2005-10-17,1686.87
Nifty Midcap 50,2005-10-18,1678.34
Nifty Midcap 50,2005-10-19,1623.43
Nifty Midcap 50,2005-10-20,1583.02
Nifty Midcap 50,2005-10-21,1600.58
Nifty Midcap 50,2005-10-24,1596.91
Nifty Midcap 50,2005-10-25,1602.86
Nifty Midcap 50,2005-10-26,1596.14
Nifty Midcap 50,2005-10-27,1559.3
Nifty Midcap 50,2005-10-28,1533.73
Nifty Midcap 50,2005-10-31,1574.17
Nifty Midcap 50,2005-11-01,1594.06
Nifty Midcap 50,2005-11-02,1604.19
Nifty Midcap 50,2005-11-07,1636.92
Nifty Midcap 50,2005-11-08,1662.74
Nifty Midcap 50,2005-11-09,1663.18
Nifty Midcap 50,2005-11-10,1659.52
Nifty Midcap 50,2005-11-11,1687.58
Nifty Midcap 50,2005-11-14,1696.82
Nifty Midcap 50,2005-11-16,1719.31
Nifty Midcap 50,2005-11-17,1728.64
Nifty Midcap 50,2005-11-18,1732.53
Nifty Midcap 50,2005-11-21,1721.06
Nifty Midcap 50,2005-11-22,1700.7
Nifty Midcap 50,2005-11-23,1702.02
Nifty Midcap 50,2005-11-24,1726.75
Nifty Midcap 50,2005-11-25,1754.96
Nifty Midcap 50,2005-11-26,1779.09
Nifty Midcap 50,2005-11-28,1777.04
Nifty Midcap 50,2005-11-29,1764.26
Nifty Midcap 50,2005-11-30,1747.02
Nifty Midcap 50,2005-12-01,1770.89
Nifty Midcap 50,2005-12-02,1775.75
Nifty Midcap 50,2005-12-05,1755.94
Nifty Midcap 50,2005-12-06,1757.78
Nifty Midcap 50,2005-12-07,1771.99
Nifty Midcap 50,2005-12-08,1787.71
Nifty Midcap 50,2005-12-09,1809.29
Nifty Midcap 50,2005-12-12,1813.13
Nifty Midcap 50,2005-12-13,1831.32
Nifty Midcap 50,2005-12-14,1835.41
Nifty Midcap 50,2005-12-15,1807.99
Nifty Midcap 50,2005-12-16,1821.14
Nifty Midcap 50,2005-12-19,1842.67
Nifty Midcap 50,2005-12-20,1832.31
Nifty Midcap 50,2005-12-21,1834.09
Nifty Midcap 50,2005-12-22,1832.93
