IndexName,Date,Total Returns Index
Nifty MidSmallcap 400,2005-04-01,1000.0
Nifty MidSmallcap 400,2005-04-04,1008.74
Nifty MidSmallcap 400,2005-04-05,1001.26
Nifty MidSmallcap 400,2005-04-06,1013.46
Nifty MidSmallcap 400,2005-04-07,1014.13
Nifty MidSmallcap 400,2005-04-08,1007.47
Nifty MidSmallcap 400,2005-04-11,997.66
Nifty MidSmallcap 400,2005-04-12,1004.99
Nifty MidSmallcap 400,2005-04-13,1005.71
Nifty MidSmallcap 400,2005-04-15,982.15
Nifty MidSmallcap 400,2005-04-18,975.35
Nifty MidSmallcap 400,2005-04-19,973.08
Nifty MidSmallcap 400,2005-04-20,977.98
Nifty MidSmallcap 400,2005-04-21,994.22
Nifty MidSmallcap 400,2005-04-22,1007.19
Nifty MidSmallcap 400,2005-04-25,1011.77
Nifty MidSmallcap 400,2005-04-26,1012.46
Nifty MidSmallcap 400,2005-04-27,1003.9
Nifty MidSmallcap 400,2005-04-28,1000.8
Nifty MidSmallcap 400,2005-04-29,985.17
Nifty MidSmallcap 400,2005-05-02,978.65
Nifty MidSmallcap 400,2005-05-03,982.1
Nifty MidSmallcap 400,2005-05-04,994.58
Nifty MidSmallcap 400,2005-05-05,1005.39
Nifty MidSmallcap 400,2005-05-06,1010.33
Nifty MidSmallcap 400,2005-05-09,1023.82
Nifty MidSmallcap 400,2005-05-10,1025.38
Nifty MidSmallcap 400,2005-05-11,1029.12
Nifty MidSmallcap 400,2005-05-12,1043.04
Nifty MidSmallcap 400,2005-05-13,1051.88
Nifty MidSmallcap 400,2005-05-16,1064.03
Nifty MidSmallcap 400,2005-05-17,1054.26
Nifty MidSmallcap 400,2005-05-18,1058.84
Nifty MidSmallcap 400,2005-05-19,1067.79
Nifty MidSmallcap 400,2005-05-20,1066.5
Nifty MidSmallcap 400,2005-05-23,1072.94
Nifty MidSmallcap 400,2005-05-24,1075.49
Nifty MidSmallcap 400,2005-05-25,1080.01
Nifty MidSmallcap 400,2005-05-26,1078.34
Nifty MidSmallcap 400,2005-05-27,1072.97
Nifty MidSmallcap 400,2005-05-30,1064.55
Nifty MidSmallcap 400,2005-05-31,1073.0
Nifty MidSmallcap 400,2005-06-01,1080.3
Nifty MidSmallcap 400,2005-06-02,1074.02
Nifty MidSmallcap 400,2005-06-03,1084.38
Nifty MidSmallcap 400,2005-06-04,1091.46
Nifty MidSmallcap 400,2005-06-06,1094.3
Nifty MidSmallcap 400,2005-06-07,1098.8
Nifty MidSmallcap 400,2005-06-08,1102.48
Nifty MidSmallcap 400,2005-06-09,1107.03
Nifty MidSmallcap 400,2005-06-10,1103.78
Nifty MidSmallcap 400,2005-06-13,1106.18
Nifty MidSmallcap 400,2005-06-14,1109.98
Nifty MidSmallcap 400,2005-06-15,1115.93
Nifty MidSmallcap 400,2005-06-16,1100.73
Nifty MidSmallcap 400,2005-06-17,1082.43
Nifty MidSmallcap 400,2005-06-20,1076.06
Nifty MidSmallcap 400,2005-06-21,1081.28
Nifty MidSmallcap 400,2005-06-22,1079.24
Nifty MidSmallcap 400,2005-06-23,1084.19
Nifty MidSmallcap 400,2005-06-24,1094.31
Nifty MidSmallcap 400,2005-06-27,1092.94
Nifty MidSmallcap 400,2005-06-28,1074.21
Nifty MidSmallcap 400,2005-06-29,1084.29
Nifty MidSmallcap 400,2005-06-30,1086.23
Nifty MidSmallcap 400,2005-07-01,1100.22
Nifty MidSmallcap 400,2005-07-04,1118.09
Nifty MidSmallcap 400,2005-07-05,1114.37
Nifty MidSmallcap 400,2005-07-06,1133.73
Nifty MidSmallcap 400,2005-07-07,1119.16
Nifty MidSmallcap 400,2005-07-08,1137.91
Nifty MidSmallcap 400,2005-07-11,1155.14
Nifty MidSmallcap 400,2005-07-12,1158.28
Nifty MidSmallcap 400,2005-07-13,1168.3
Nifty MidSmallcap 400,2005-07-14,1167.45
Nifty MidSmallcap 400,2005-07-15,1182.18
Nifty MidSmallcap 400,2005-07-18,1206.41
Nifty MidSmallcap 400,2005-07-19,1214.22
Nifty MidSmallcap 400,2005-07-20,1218.62
