IndexName,Date,Total Returns Index
Nifty Next 50,2005-04-01,4957.2
Nifty Next 50,2005-04-04,4977.01
Nifty Next 50,2005-04-05,4913.65
Nifty Next 50,2005-04-06,4931.12
Nifty Next 50,2005-04-07,4918.16
Nifty Next 50,2005-04-08,4873.93
Nifty Next 50,2005-04-11,4811.32
Nifty Next 50,2005-04-12,4848.18
Nifty Next 50,2005-04-13,4852.75
Nifty Next 50,2005-04-15,4734.72
Nifty Next 50,2005-04-18,4694.13
Nifty Next 50,2005-04-19,4643.14
Nifty Next 50,2005-04-20,4659.13
Nifty Next 50,2005-04-21,4746.37
Nifty Next 50,2005-04-22,4779.95
Nifty Next 50,2005-04-25,4814.14
Nifty Next 50,2005-04-26,4806.48
Nifty Next 50,2005-04-27,4779.07
Nifty Next 50,2005-04-28,4693.28
Nifty Next 50,2005-04-29,4596.99
Nifty Next 50,2005-05-02,4607.67
Nifty Next 50,2005-05-03,4625.43
Nifty Next 50,2005-05-04,4694.3
Nifty Next 50,2005-05-05,4810.44
Nifty Next 50,2005-05-06,4825.93
Nifty Next 50,2005-05-09,4883.61
Nifty Next 50,2005-05-10,4884.87
Nifty Next 50,2005-05-11,4843.04
Nifty Next 50,2005-05-12,4856.79
Nifty Next 50,2005-05-13,4861.9
Nifty Next 50,2005-05-16,4901.18
Nifty Next 50,2005-05-17,4852.35
Nifty Next 50,2005-05-18,4832.62
Nifty Next 50,2005-05-19,4857.32
Nifty Next 50,2005-05-20,4846.37
Nifty Next 50,2005-05-23,4883.05
Nifty Next 50,2005-05-24,4902.8
Nifty Next 50,2005-05-25,4920.54
Nifty Next 50,2005-05-26,4896.44
Nifty Next 50,2005-05-27,4937.82
Nifty Next 50,2005-05-30,4917.01
Nifty Next 50,2005-05-31,4999.54
Nifty Next 50,2005-06-01,5030.3
Nifty Next 50,2005-06-02,5006.87
Nifty Next 50,2005-06-03,5055.46
Nifty Next 50,2005-06-04,5077.34
Nifty Next 50,2005-06-06,5102.8
Nifty Next 50,2005-06-07,5172.84
Nifty Next 50,2005-06-08,5211.19
Nifty Next 50,2005-06-09,5191.18
Nifty Next 50,2005-06-10,5143.74
Nifty Next 50,2005-06-13,5162.6
Nifty Next 50,2005-06-14,5163.06
Nifty Next 50,2005-06-15,5154.01
Nifty Next 50,2005-06-16,5096.39
Nifty Next 50,2005-06-17,5047.3
Nifty Next 50,2005-06-20,4997.88
Nifty Next 50,2005-06-21,5029.41
Nifty Next 50,2005-06-22,5062.2
Nifty Next 50,2005-06-23,5105.44
Nifty Next 50,2005-06-24,5104.29
Nifty Next 50,2005-06-27,5103.54
Nifty Next 50,2005-06-28,5026.2
Nifty Next 50,2005-06-29,5064.17
Nifty Next 50,2005-06-30,5043.25
Nifty Next 50,2005-07-01,5156.38
Nifty Next 50,2005-07-04,5238.92
Nifty Next 50,2005-07-05,5194.04
Nifty Next 50,2005-07-06,5284.32
Nifty Next 50,2005-07-07,5213.44
Nifty Next 50,2005-07-08,5321.0
Nifty Next 50,2005-07-11,5377.97
Nifty Next 50,2005-07-12,5418.64
Nifty Next 50,2005-07-13,5427.2
Nifty Next 50,2005-07-14,5415.98
Nifty Next 50,2005-07-15,5442.76
Nifty Next 50,2005-07-18,5521.09
Nifty Next 50,2005-07-19,5554.07
Nifty Next 50,2005-07-20,5577.23
Nifty Next 50,2005-07-21,5536.88
Nifty Next 50,2005-07-22,5621.32
Nifty Next 50,2005-07-25,5655.35
Nifty Next 50,2005-07-26,5671.42
Nifty Next 50,2005-07-27,5696.04
Nifty Next 50,2005-07-29,5659.68
Nifty Next 50,2005-08-01,5694.26
Nifty Next 50,2005-08-02,5758.17
Nifty Next 50,2005-08-03,5766.54
Nifty Next 50,2005-08-04,5810.82
Nifty Next 50,2005-08-05,5846.84
Nifty Next 50,2005-08-08,5724.52
Nifty Next 50,2005-08-09,5716.12
Nifty Next 50,2005-08-10,5832.11
Nifty Next 50,2005-08-11,5852.85
Nifty Next 50,2005-08-12,5861.94
Nifty Next 50,2005-08-16,5856.64
Nifty Next 50,2005-08-17,5904.01
Nifty Next 50,2005-08-18,5866.44
Nifty Next 50,2005-08-19,5842.46
Nifty Next 50,2005-08-22,5767.37
Nifty Next 50,2005-08-23,5646.01
Nifty Next 50,2005-08-24,5577.19
Nifty Next 50,2005-08-25,5612.52
Nifty Next 50,2005-08-26,5731.78
Nifty Next 50,2005-08-29,5697.25
Nifty Next 50,2005-08-30,5785.62
Nifty Next 50,2005-08-31,5826.57
Nifty Next 50,2005-09-01,5838.91
Nifty Next 50,2005-09-02,5858.81
Nifty Next 50,2005-09-05,5884.24
Nifty Next 50,2005-09-06,5886.84
Nifty Next 50,2005-09-08,5920.39
Nifty Next 50,2005-09-09,5946.2
Nifty Next 50,2005-09-12,6044.11
Nifty Next 50,2005-09-13,6111.92
Nifty Next 50,2005-09-14,6069.23
Nifty Next 50,2005-09-15,6120.32
Nifty Next 50,2005-09-16,6160.17
Nifty Next 50,2005-09-19,6240.49
Nifty Next 50,2005-09-20,6216.11
Nifty Next 50,2005-09-21,6105.32
Nifty Next 50,2005-09-22,5801.63
Nifty Next 50,2005-09-23,5828.1
Nifty Next 50,2005-09-26,6010.88
Nifty Next 50,2005-09-27,6051.54
Nifty Next 50,2005-09-28,6081.07
Nifty Next 50,2005-09-29,6025.76
Nifty Next 50,2005-09-30,6117.63
Nifty Next 50,2005-10-03,6195.84
Nifty Next 50,2005-10-04,6270.01
Nifty Next 50,2005-10-05,6197.74
Nifty Next 50,2005-10-06,6101.95
Nifty Next 50,2005-10-07,6060.25
Nifty Next 50,2005-10-10,6012.09
Nifty Next 50,2005-10-11,6050.61
Nifty Next 50,2005-10-13,5975.75
Nifty Next 50,2005-10-14,5847.83
Nifty Next 50,2005-10-17,5789.23
Nifty Next 50,2005-10-18,5751.74
Nifty Next 50,2005-10-19,5605.53
Nifty Next 50,2005-10-20,5471.32
