IndexName,Date,Total Returns Index
NIFTY Quality Low-Volatility 30,2005-04-01,1000.0
NIFTY Quality Low-Volatility 30,2005-04-04,999.79
NIFTY Quality Low-Volatility 30,2005-04-05,993.09
NIFTY Quality Low-Volatility 30,2005-04-06,996.79
NIFTY Quality Low-Volatility 30,2005-04-07,997.74
NIFTY Quality Low-Volatility 30,2005-04-08,991.41
NIFTY Quality Low-Volatility 30,2005-04-11,984.08
NIFTY Quality Low-Volatility 30,2005-04-12,996.35
NIFTY Quality Low-Volatility 30,2005-04-13,996.3
NIFTY Quality Low-Volatility 30,2005-04-15,981.4
NIFTY Quality Low-Volatility 30,2005-04-18,976.96
NIFTY Quality Low-Volatility 30,2005-04-19,972.35
NIFTY Quality Low-Volatility 30,2005-04-20,982.66
NIFTY Quality Low-Volatility 30,2005-04-21,991.93
NIFTY Quality Low-Volatility 30,2005-04-22,998.1
NIFTY Quality Low-Volatility 30,2005-04-25,1000.71
NIFTY Quality Low-Volatility 30,2005-04-26,996.58
NIFTY Quality Low-Volatility 30,2005-04-27,988.93
NIFTY Quality Low-Volatility 30,2005-04-28,991.12
NIFTY Quality Low-Volatility 30,2005-04-29,976.35
NIFTY Quality Low-Volatility 30,2005-05-02,979.58
NIFTY Quality Low-Volatility 30,2005-05-03,982.92
NIFTY Quality Low-Volatility 30,2005-05-04,995.44
NIFTY Quality Low-Volatility 30,2005-05-05,1002.02
NIFTY Quality Low-Volatility 30,2005-05-06,1008.34
NIFTY Quality Low-Volatility 30,2005-05-09,1022.08
NIFTY Quality Low-Volatility 30,2005-05-10,1021.67
NIFTY Quality Low-Volatility 30,2005-05-11,1019.91
NIFTY Quality Low-Volatility 30,2005-05-12,1026.1
NIFTY Quality Low-Volatility 30,2005-05-13,1027.78
NIFTY Quality Low-Volatility 30,2005-05-16,1035.61
NIFTY Quality Low-Volatility 30,2005-05-17,1027.93
NIFTY Quality Low-Volatility 30,2005-05-18,1025.89
NIFTY Quality Low-Volatility 30,2005-05-19,1031.54
NIFTY Quality Low-Volatility 30,2005-05-20,1032.14
NIFTY Quality Low-Volatility 30,2005-05-23,1038.3
NIFTY Quality Low-Volatility 30,2005-05-24,1044.26
NIFTY Quality Low-Volatility 30,2005-05-25,1053.25
NIFTY Quality Low-Volatility 30,2005-05-26,1059.97
NIFTY Quality Low-Volatility 30,2005-05-27,1064.43
NIFTY Quality Low-Volatility 30,2005-05-30,1061.7
NIFTY Quality Low-Volatility 30,2005-05-31,1065.88
NIFTY Quality Low-Volatility 30,2005-06-01,1074.98
NIFTY Quality Low-Volatility 30,2005-06-02,1069.21
NIFTY Quality Low-Volatility 30,2005-06-03,1076.56
NIFTY Quality Low-Volatility 30,2005-06-04,1083.94
NIFTY Quality Low-Volatility 30,2005-06-06,1078.23
NIFTY Quality Low-Volatility 30,2005-06-07,1078.35
NIFTY Quality Low-Volatility 30,2005-06-08,1082.3
NIFTY Quality Low-Volatility 30,2005-06-09,1082.0
NIFTY Quality Low-Volatility 30,2005-06-10,1077.19
NIFTY Quality Low-Volatility 30,2005-06-13,1084.06
NIFTY Quality Low-Volatility 30,2005-06-14,1083.71
NIFTY Quality Low-Volatility 30,2005-06-15,1087.11
NIFTY Quality Low-Volatility 30,2005-06-16,1083.55
NIFTY Quality Low-Volatility 30,2005-06-17,1077.11
NIFTY Quality Low-Volatility 30,2005-06-20,1075.45
NIFTY Quality Low-Volatility 30,2005-06-21,1084.36
NIFTY Quality Low-Volatility 30,2005-06-22,1093.68
NIFTY Quality Low-Volatility 30,2005-06-23,1096.66
NIFTY Quality Low-Volatility 30,2005-06-24,1104.85
NIFTY Quality Low-Volatility 30,2005-06-27,1104.48
NIFTY Quality Low-Volatility 30,2005-06-28,1087.88
NIFTY Quality Low-Volatility 30,2005-06-29,1097.39
NIFTY Quality Low-Volatility 30,2005-06-30,1099.68
NIFTY Quality Low-Volatility 30,2005-07-01,1114.45
NIFTY Quality Low-Volatility 30,2005-07-04,1124.38
NIFTY Quality Low-Volatility 30,2005-07-05,1121.84
NIFTY Quality Low-Volatility 30,2005-07-06,1134.55
NIFTY Quality Low-Volatility 30,2005-07-07,1120.2
NIFTY Quality Low-Volatility 30,2005-07-08,1134.58
NIFTY Quality Low-Volatility 30,2005-07-11,1151.86
NIFTY Quality Low-Volatility 30,2005-07-12,1153.63
NIFTY Quality Low-Volatility 30,2005-07-13,1147.16
NIFTY Quality Low-Volatility 30,2005-07-14,1139.08
NIFTY Quality Low-Volatility 30,2005-07-15,1151.24
NIFTY Quality Low-Volatility 30,2005-07-18,1172.17
NIFTY Quality Low-Volatility 30,2005-07-19,1177.5
NIFTY Quality Low-Volatility 30,2005-07-20,1184.35
NIFTY Quality Low-Volatility 30,2005-07-21,1171.92
NIFTY Quality Low-Volatility 30,2005-07-22,1179.03
NIFTY Quality Low-Volatility 30,2005-07-25,1178.48
NIFTY Quality Low-Volatility 30,2005-07-26,1174.72
NIFTY Quality Low-Volatility 30,2005-07-27,1177.84
NIFTY Quality Low-Volatility 30,2005-07-29,1162.72
NIFTY Quality Low-Volatility 30,2005-08-01,1175.6
NIFTY Quality Low-Volatility 30,2005-08-02,1194.57
NIFTY Quality Low-Volatility 30,2005-08-03,1197.73
NIFTY Quality Low-Volatility 30,2005-08-04,1206.42
NIFTY Quality Low-Volatility 30,2005-08-05,1206.91
NIFTY Quality Low-Volatility 30,2005-08-08,1187.53
NIFTY Quality Low-Volatility 30,2005-08-09,1181.66
NIFTY Quality Low-Volatility 30,2005-08-10,1204.74
NIFTY Quality Low-Volatility 30,2005-08-11,1217.37
NIFTY Quality Low-Volatility 30,2005-08-12,1223.61
NIFTY Quality Low-Volatility 30,2005-08-16,1224.78
NIFTY Quality Low-Volatility 30,2005-08-17,1230.82
NIFTY Quality Low-Volatility 30,2005-08-18,1224.03
NIFTY Quality Low-Volatility 30,2005-08-19,1226.94
NIFTY Quality Low-Volatility 30,2005-08-22,1221.51
NIFTY Quality Low-Volatility 30,2005-08-23,1202.45
NIFTY Quality Low-Volatility 30,2005-08-24,1196.68
NIFTY Quality Low-Volatility 30,2005-08-25,1199.38
NIFTY Quality Low-Volatility 30,2005-08-26,1217.66
NIFTY Quality Low-Volatility 30,2005-08-29,1205.69
NIFTY Quality Low-Volatility 30,2005-08-30,1220.54
NIFTY Quality Low-Volatility 30,2005-08-31,1227.42
NIFTY Quality Low-Volatility 30,2005-09-01,1236.28
NIFTY Quality Low-Volatility 30,2005-09-02,1240.98
NIFTY Quality Low-Volatility 30,2005-09-05,1244.62
