IndexName,Date,Total Returns Index
Nifty Smallcap250 Quality 50,2005-04-01,1000.0
Nifty Smallcap250 Quality 50,2005-04-04,1001.18
Nifty Smallcap250 Quality 50,2005-04-05,991.21
Nifty Smallcap250 Quality 50,2005-04-06,1001.95
Nifty Smallcap250 Quality 50,2005-04-07,1007.61
Nifty Smallcap250 Quality 50,2005-04-08,1000.61
Nifty Smallcap250 Quality 50,2005-04-11,994.16
Nifty Smallcap250 Quality 50,2005-04-12,1002.06
Nifty Smallcap250 Quality 50,2005-04-13,1000.71
Nifty Smallcap250 Quality 50,2005-04-15,979.5
Nifty Smallcap250 Quality 50,2005-04-18,974.02
Nifty Smallcap250 Quality 50,2005-04-19,971.1
Nifty Smallcap250 Quality 50,2005-04-20,974.06
Nifty Smallcap250 Quality 50,2005-04-21,986.37
Nifty Smallcap250 Quality 50,2005-04-22,1003.78
Nifty Smallcap250 Quality 50,2005-04-25,1013.56
Nifty Smallcap250 Quality 50,2005-04-26,1017.02
Nifty Smallcap250 Quality 50,2005-04-27,1009.64
Nifty Smallcap250 Quality 50,2005-04-28,1012.91
Nifty Smallcap250 Quality 50,2005-04-29,997.57
Nifty Smallcap250 Quality 50,2005-05-02,990.29
Nifty Smallcap250 Quality 50,2005-05-03,1000.19
Nifty Smallcap250 Quality 50,2005-05-04,1023.45
Nifty Smallcap250 Quality 50,2005-05-05,1040.77
Nifty Smallcap250 Quality 50,2005-05-06,1049.36
Nifty Smallcap250 Quality 50,2005-05-09,1065.34
Nifty Smallcap250 Quality 50,2005-05-10,1070.15
Nifty Smallcap250 Quality 50,2005-05-11,1071.74
Nifty Smallcap250 Quality 50,2005-05-12,1088.96
Nifty Smallcap250 Quality 50,2005-05-13,1103.3
Nifty Smallcap250 Quality 50,2005-05-16,1112.9
Nifty Smallcap250 Quality 50,2005-05-17,1104.04
Nifty Smallcap250 Quality 50,2005-05-18,1106.64
Nifty Smallcap250 Quality 50,2005-05-19,1116.71
Nifty Smallcap250 Quality 50,2005-05-20,1119.6
Nifty Smallcap250 Quality 50,2005-05-23,1121.93
Nifty Smallcap250 Quality 50,2005-05-24,1118.97
Nifty Smallcap250 Quality 50,2005-05-25,1130.27
Nifty Smallcap250 Quality 50,2005-05-26,1131.11
Nifty Smallcap250 Quality 50,2005-05-27,1119.73
Nifty Smallcap250 Quality 50,2005-05-30,1109.26
Nifty Smallcap250 Quality 50,2005-05-31,1117.67
Nifty Smallcap250 Quality 50,2005-06-01,1122.12
Nifty Smallcap250 Quality 50,2005-06-02,1110.21
Nifty Smallcap250 Quality 50,2005-06-03,1119.18
Nifty Smallcap250 Quality 50,2005-06-04,1131.4
Nifty Smallcap250 Quality 50,2005-06-06,1132.56
Nifty Smallcap250 Quality 50,2005-06-07,1135.72
Nifty Smallcap250 Quality 50,2005-06-08,1141.66
Nifty Smallcap250 Quality 50,2005-06-09,1143.02
Nifty Smallcap250 Quality 50,2005-06-10,1137.81
Nifty Smallcap250 Quality 50,2005-06-13,1142.25
Nifty Smallcap250 Quality 50,2005-06-14,1142.09
Nifty Smallcap250 Quality 50,2005-06-15,1155.72
Nifty Smallcap250 Quality 50,2005-06-16,1130.76
Nifty Smallcap250 Quality 50,2005-06-17,1111.84
Nifty Smallcap250 Quality 50,2005-06-20,1108.38
Nifty Smallcap250 Quality 50,2005-06-21,1114.88
Nifty Smallcap250 Quality 50,2005-06-22,1113.07
Nifty Smallcap250 Quality 50,2005-06-23,1115.75
Nifty Smallcap250 Quality 50,2005-06-24,1122.83
Nifty Smallcap250 Quality 50,2005-06-27,1117.3
Nifty Smallcap250 Quality 50,2005-06-28,1099.56
Nifty Smallcap250 Quality 50,2005-06-29,1110.01
Nifty Smallcap250 Quality 50,2005-06-30,1116.83
Nifty Smallcap250 Quality 50,2005-07-01,1123.8
Nifty Smallcap250 Quality 50,2005-07-04,1142.31
Nifty Smallcap250 Quality 50,2005-07-05,1135.93
Nifty Smallcap250 Quality 50,2005-07-06,1154.86
Nifty Smallcap250 Quality 50,2005-07-07,1145.21
Nifty Smallcap250 Quality 50,2005-07-08,1161.48
Nifty Smallcap250 Quality 50,2005-07-11,1182.8
Nifty Smallcap250 Quality 50,2005-07-12,1189.27
Nifty Smallcap250 Quality 50,2005-07-13,1210.85
Nifty Smallcap250 Quality 50,2005-07-14,1206.35
Nifty Smallcap250 Quality 50,2005-07-15,1216.53
Nifty Smallcap250 Quality 50,2005-07-18,1233.0
Nifty Smallcap250 Quality 50,2005-07-19,1239.97
Nifty Smallcap250 Quality 50,2005-07-20,1244.61
Nifty Smallcap250 Quality 50,2005-07-21,1243.24
Nifty Smallcap250 Quality 50,2005-07-22,1252.02
Nifty Smallcap250 Quality 50,2005-07-25,1260.74
Nifty Smallcap250 Quality 50,2005-07-26,1253.65
Nifty Smallcap250 Quality 50,2005-07-27,1249.09
Nifty Smallcap250 Quality 50,2005-07-29,1237.84
Nifty Smallcap250 Quality 50,2005-08-01,1231.66
Nifty Smallcap250 Quality 50,2005-08-02,1244.97
Nifty Smallcap250 Quality 50,2005-08-03,1247.53
Nifty Smallcap250 Quality 50,2005-08-04,1255.58
Nifty Smallcap250 Quality 50,2005-08-05,1268.43
Nifty Smallcap250 Quality 50,2005-08-08,1254.81
Nifty Smallcap250 Quality 50,2005-08-09,1256.3
Nifty Smallcap250 Quality 50,2005-08-10,1281.48
Nifty Smallcap250 Quality 50,2005-08-11,1304.71
Nifty Smallcap250 Quality 50,2005-08-12,1314.79
Nifty Smallcap250 Quality 50,2005-08-16,1339.47
Nifty Smallcap250 Quality 50,2005-08-17,1360.51
Nifty Smallcap250 Quality 50,2005-08-18,1350.89
Nifty Smallcap250 Quality 50,2005-08-19,1363.63
Nifty Smallcap250 Quality 50,2005-08-22,1370.95
Nifty Smallcap250 Quality 50,2005-08-23,1339.3
Nifty Smallcap250 Quality 50,2005-08-24,1329.76
Nifty Smallcap250 Quality 50,2005-08-25,1353.07
Nifty Smallcap250 Quality 50,2005-08-26,1356.78
Nifty Smallcap250 Quality 50,2005-08-29,1360.58
Nifty Smallcap250 Quality 50,2005-08-30,1372.15
Nifty Smallcap250 Quality 50,2005-08-31,1385.73
Nifty Smallcap250 Quality 50,2005-09-01,1401.58
Nifty Smallcap250 Quality 50,2005-09-02,1405.99
Nifty Smallcap250 Quality 50,2005-09-05,1412.38
Nifty Smallcap250 Quality 50,2005-09-06,1410.64
Nifty Smallcap250 Quality 50,2005-09-08,1429.03
Nifty Smallcap250 Quality 50,2005-09-09,1425.93
Nifty Smallcap250 Quality 50,2005-09-12,1450.19
Nifty Smallcap250 Quality 50,2005-09-13,1463.26
Nifty Smallcap250 Quality 50,2005-09-14,1448.18
Nifty Smallcap250 Quality 50,2005-09-15,1468.53
Nifty Smallcap250 Quality 50,2005-09-16,1467.88
Nifty Smallcap250 Quality 50,2005-09-19,1481.47
Nifty Smallcap250 Quality 50,2005-09-20,1488.58
Nifty Smallcap250 Quality 50,2005-09-21,1448.54
Nifty Smallcap250 Quality 50,2005-09-22,1352.32
Nifty Smallcap250 Quality 50,2005-09-23,1368.24
Nifty Smallcap250 Quality 50,2005-09-26,1420.0
Nifty Smallcap250 Quality 50,2005-09-27,1437.26
Nifty Smallcap250 Quality 50,2005-09-28,1436.95
Nifty Smallcap250 Quality 50,2005-09-29,1419.77
Nifty Smallcap250 Quality 50,2005-09-30,1407.06
Nifty Smallcap250 Quality 50,2005-10-03,1427.64
Nifty Smallcap250 Quality 50,2005-10-04,1456.06
Nifty Smallcap250 Quality 50,2005-10-05,1449.14
Nifty Smallcap250 Quality 50,2005-10-06,1432.95
Nifty Smallcap250 Quality 50,2005-10-07,1434.83
Nifty Smallcap250 Quality 50,2005-10-10,1423.8
Nifty Smallcap250 Quality 50,2005-10-11,1412.03
Nifty Smallcap250 Quality 50,2005-10-13,1401.34
