IndexName,Date,Total Returns Index
Nifty Top 20 Equal Weight,2006-03-02,1000.0
Nifty Top 20 Equal Weight,2006-03-03,999.43
Nifty Top 20 Equal Weight,2006-03-06,1011.57
Nifty Top 20 Equal Weight,2006-03-07,1008.4
Nifty Top 20 Equal Weight,2006-03-08,983.8
Nifty Top 20 Equal Weight,2006-03-09,985.92
Nifty Top 20 Equal Weight,2006-03-10,1005.02
Nifty Top 20 Equal Weight,2006-03-13,1010.07
Nifty Top 20 Equal Weight,2006-03-14,1007.71
Nifty Top 20 Equal Weight,2006-03-16,1018.56
Nifty Top 20 Equal Weight,2006-03-17,1016.67
Nifty Top 20 Equal Weight,2006-03-20,1027.29
Nifty Top 20 Equal Weight,2006-03-21,1026.34
Nifty Top 20 Equal Weight,2006-03-22,1018.37
Nifty Top 20 Equal Weight,2006-03-23,1022.35
Nifty Top 20 Equal Weight,2006-03-24,1034.78
Nifty Top 20 Equal Weight,2006-03-27,1050.79
Nifty Top 20 Equal Weight,2006-03-28,1050.82
Nifty Top 20 Equal Weight,2006-03-29,1055.83
Nifty Top 20 Equal Weight,2006-03-30,1075.93
Nifty Top 20 Equal Weight,2006-03-31,1074.7
Nifty Top 20 Equal Weight,2006-04-03,1097.51
Nifty Top 20 Equal Weight,2006-04-04,1101.95
Nifty Top 20 Equal Weight,2006-04-05,1107.68
Nifty Top 20 Equal Weight,2006-04-07,1086.18
Nifty Top 20 Equal Weight,2006-04-10,1096.48
Nifty Top 20 Equal Weight,2006-04-12,1062.15
Nifty Top 20 Equal Weight,2006-04-13,1053.84
Nifty Top 20 Equal Weight,2006-04-17,1080.78
Nifty Top 20 Equal Weight,2006-04-18,1105.79
Nifty Top 20 Equal Weight,2006-04-19,1111.39
Nifty Top 20 Equal Weight,2006-04-20,1123.86
Nifty Top 20 Equal Weight,2006-04-21,1124.13
Nifty Top 20 Equal Weight,2006-04-24,1113.73
Nifty Top 20 Equal Weight,2006-04-25,1087.11
Nifty Top 20 Equal Weight,2006-04-26,1116.8
Nifty Top 20 Equal Weight,2006-04-27,1104.94
Nifty Top 20 Equal Weight,2006-04-28,1101.04
Nifty Top 20 Equal Weight,2006-04-29,1113.86
Nifty Top 20 Equal Weight,2006-05-02,1127.65
Nifty Top 20 Equal Weight,2006-05-03,1136.59
Nifty Top 20 Equal Weight,2006-05-04,1140.88
Nifty Top 20 Equal Weight,2006-05-05,1142.48
Nifty Top 20 Equal Weight,2006-05-08,1149.44
Nifty Top 20 Equal Weight,2006-05-09,1157.07
Nifty Top 20 Equal Weight,2006-05-10,1166.86
Nifty Top 20 Equal Weight,2006-05-11,1151.65
Nifty Top 20 Equal Weight,2006-05-12,1140.76
Nifty Top 20 Equal Weight,2006-05-15,1094.41
Nifty Top 20 Equal Weight,2006-05-16,1098.92
Nifty Top 20 Equal Weight,2006-05-17,1134.42
Nifty Top 20 Equal Weight,2006-05-18,1056.46
Nifty Top 20 Equal Weight,2006-05-19,1012.07
Nifty Top 20 Equal Weight,2006-05-22,956.54
Nifty Top 20 Equal Weight,2006-05-23,994.29
Nifty Top 20 Equal Weight,2006-05-24,967.05
Nifty Top 20 Equal Weight,2006-05-25,986.87
Nifty Top 20 Equal Weight,2006-05-26,1005.31
Nifty Top 20 Equal Weight,2006-05-29,1011.24
Nifty Top 20 Equal Weight,2006-05-30,1001.52
Nifty Top 20 Equal Weight,2006-05-31,965.37
Nifty Top 20 Equal Weight,2006-06-01,932.18
Nifty Top 20 Equal Weight,2006-06-02,976.43
Nifty Top 20 Equal Weight,2006-06-05,956.63
Nifty Top 20 Equal Weight,2006-06-06,933.82
Nifty Top 20 Equal Weight,2006-06-07,907.26
Nifty Top 20 Equal Weight,2006-06-08,864.49
Nifty Top 20 Equal Weight,2006-06-09,911.45
Nifty Top 20 Equal Weight,2006-06-12,879.37
Nifty Top 20 Equal Weight,2006-06-13,837.03
